#BLTrackFile solenoid_cooling_channel
#x y z Px Py Pz t PDGid EvNum TrkId Parent weight
-6.321090 -11.071200 0 0.000000 0.000000 204.000000 190.079000 -13 1 1 0 1.000000
-16.917500 -0.737365 0 -14.375100 -28.365200 232.559000 189.910000 -13 2 1 0 1.000000
-31.913800 13.043200 0 8.296600 6.332800 224.393000 189.920000 -13 3 1 0 1.000000
-31.377500 7.214240 0 -10.206700 -13.372300 230.062000 189.836000 -13 4 1 0 1.000000
-27.370200 -0.625036 0 -19.002600 -18.671500 242.514000 189.999000 -13 5 1 0 1.000000
-34.473600 -21.947500 0 4.271770 -7.612400 229.854000 189.987000 -13 6 1 0 1.000000
-39.801200 -33.364500 0 -8.203450 -15.696300 240.368000 190.124000 -13 7 1 0 1.000000
-28.450100 19.980400 0 -11.839400 -30.937100 199.330000 190.707000 -13 8 1 0 1.000000
-12.932200 -20.169000 0 9.563420 -6.996470 227.684000 189.887000 -13 9 1 0 1.000000
-38.960700 -14.666200 0 3.264110 -16.180400 240.922000 189.955000 -13 10 1 0 1.000000
10.268100 -53.479100 0 1.926480 -0.248683 221.095000 190.026000 -13 11 1 0 1.000000
5.474630 -27.744300 0 -3.837670 39.704900 212.605000 190.290000 -13 12 1 0 1.000000
-16.384700 -64.160700 0 26.949100 -24.856100 223.305000 190.278000 -13 13 1 0 1.000000
1.594670 -60.861600 0 -13.076100 16.564500 217.238000 189.947000 -13 14 1 0 1.000000
-8.195660 11.809800 0 -15.621900 13.817900 201.792000 190.126000 -13 15 1 0 1.000000
17.520500 -62.941700 0 7.787970 -10.188400 223.429000 190.124000 -13 16 1 0 1.000000
8.058800 -2.742700 0 -13.350000 28.041800 214.696000 190.081000 -13 17 1 0 1.000000
-2.425810 -37.702600 0 -14.633700 27.857100 215.329000 190.097000 -13 18 1 0 1.000000
12.883800 -75.289900 0 20.781600 5.035350 224.176000 190.203000 -13 19 1 0 1.000000
-9.560110 12.650200 0 3.465470 -1.235950 206.512000 189.708000 -13 20 1 0 1.000000
-0.624402 8.177430 0 0.870662 11.968800 236.305000 189.805000 -13 21 1 0 1.000000
-1.571480 21.652700 0 5.351360 11.254500 227.451000 189.767000 -13 22 1 0 1.000000
-27.461700 7.343800 0 -9.050280 -12.583300 209.448000 189.849000 -13 23 1 0 1.000000
-57.134100 -25.767800 0 -29.229700 4.790150 196.702000 189.890000 -13 24 1 0 1.000000
5.899990 -4.835060 0 3.697840 2.367050 190.571000 189.759000 -13 25 1 0 1.000000
2.724740 -29.144200 0 -19.168800 30.140300 217.881000 189.837000 -13 26 1 0 1.000000
-18.676100 11.231900 0 -6.552840 27.489200 233.470000 189.878000 -13 27 1 0 1.000000
-49.200800 6.473040 0 9.870340 -3.880360 226.313000 189.803000 -13 28 1 0 1.000000
-44.412100 25.367200 0 13.147900 2.160480 203.410000 189.800000 -13 29 1 0 1.000000
-20.767900 -1.341260 0 3.720520 -4.075320 209.439000 190.496000 -13 30 1 0 1.000000
-29.502300 9.637600 0 10.040800 1.423500 221.567000 190.137000 -13 31 1 0 1.000000
-26.986700 9.695360 0 -11.066900 -7.019190 229.378000 190.197000 -13 32 1 0 1.000000
-41.043000 3.499720 0 10.174200 -18.469200 211.169000 190.575000 -13 33 1 0 1.000000
2.795740 -12.248200 0 2.076350 -17.599900 222.905000 190.300000 -13 34 1 0 1.000000
-14.802000 17.284900 0 -9.939170 7.476970 217.612000 190.392000 -13 35 1 0 1.000000
-27.938700 3.685840 0 5.385600 -14.234600 214.532000 190.316000 -13 36 1 0 1.000000
4.717370 -10.176600 0 5.960210 -15.669700 220.320000 190.432000 -13 37 1 0 1.000000
-17.962700 -21.889500 0 11.985800 7.958620 216.776000 190.442000 -13 38 1 0 1.000000
-9.266700 2.713000 0 3.565260 -22.222800 218.758000 190.333000 -13 39 1 0 1.000000
-9.351760 13.064500 0 30.692100 9.845500 209.818000 189.671000 -13 40 1 0 1.000000
-1.567300 1.432020 0 10.248000 24.048500 202.044000 189.646000 -13 41 1 0 1.000000
-21.265000 -32.627000 0 -19.426000 26.865200 193.121000 189.889000 -13 42 1 0 1.000000
-27.992700 4.384110 0 -23.762000 20.898500 191.868000 190.044000 -13 43 1 0 1.000000
-45.200600 14.324400 0 -17.927500 10.315800 209.167000 190.256000 -13 44 1 0 1.000000
-23.401200 14.093600 0 -32.652100 11.059600 185.778000 189.705000 -13 45 1 0 1.000000
-39.485900 -9.714790 0 -19.992900 8.678430 200.576000 190.141000 -13 46 1 0 1.000000
3.170250 -10.859500 0 -41.398000 17.002400 171.679000 189.961000 -13 47 1 0 1.000000
41.315800 -15.128800 0 -58.426700 11.627300 192.244000 190.290000 -13 48 1 0 1.000000
-31.647900 10.407000 0 6.543770 -2.311820 204.201000 190.099000 -13 49 1 0 1.000000
-28.459700 14.081800 0 5.765340 0.196051 181.419000 190.071000 -13 50 1 0 1.000000
-45.440600 -3.877960 0 61.630800 9.024150 207.164000 189.646000 -13 51 1 0 1.000000
20.369400 14.187400 0 21.041500 29.822100 220.060000 189.770000 -13 52 1 0 1.000000
29.093600 -37.265400 0 -31.577300 -12.990700 181.424000 190.170000 -13 53 1 0 1.000000
21.022700 -43.645500 0 0.372026 -12.031100 213.264000 190.867000 -13 54 1 0 1.000000
-3.190290 7.447470 0 -11.571000 -1.504880 173.179000 189.786000 -13 55 1 0 1.000000
7.889130 -9.741820 0 -26.299600 0.098546 171.654000 190.076000 -13 56 1 0 1.000000
51.079900 -6.265620 0 -8.436650 -4.566260 239.716000 190.621000 -13 57 1 0 1.000000
8.741190 -13.176500 0 -3.361090 1.006250 202.640000 189.932000 -13 58 1 0 1.000000
1.636260 -27.261200 0 -12.463800 -9.007850 204.612000 189.833000 -13 59 1 0 1.000000
13.111500 3.112550 0 -12.660400 -17.957700 202.139000 189.873000 -13 60 1 0 1.000000
-11.693300 6.481700 0 14.509600 1.188830 211.201000 189.777000 -13 61 1 0 1.000000
17.053800 -2.703170 0 5.154950 -1.966820 198.080000 189.826000 -13 62 1 0 1.000000
3.424100 -13.210500 0 6.772880 1.643450 192.195000 189.846000 -13 63 1 0 1.000000
-18.479500 -13.370500 0 14.596800 -2.310250 210.222000 189.889000 -13 64 1 0 1.000000
0.101509 -9.286090 0 0.074403 5.308980 194.323000 189.887000 -13 65 1 0 1.000000
-2.053130 -17.338400 0 -9.756930 -6.905980 202.566000 189.818000 -13 66 1 0 1.000000
-13.083000 25.236100 0 -7.050300 14.355300 200.144000 190.105000 -13 67 1 0 1.000000
-15.222000 10.261000 0 5.761460 10.626300 182.339000 190.200000 -13 68 1 0 1.000000
-43.261300 -15.707000 0 11.072100 18.482600 189.593000 190.014000 -13 69 1 0 1.000000
