 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.1014E+02  0.0000E+00  0.1556E-03  0.1638E-02  0.3918E-10  0.1801E+00  0.1937E+00  0.3014E-01  0.1927E-01  0.5003E+00  0.3221E-01  0.1297E+04  0.1297E+04  0.1297E+04  0.1684E-03  0.7218E-02  0.8035E-10  0.1522E+01  0.5745E-08  0.7190E-02 -0.1164E-02 -0.1537E-02 -0.6904E-02 -0.1435E-02  0.6209E-02  0.3532E-02
    15  0.1092E+02  0.0000E+00  0.1550E-03  0.1626E-02  0.3848E-10  0.1800E+00  0.1935E+00  0.3013E-01  0.1864E-01  0.4961E+00 -0.1243E-02  0.1291E+04  0.1291E+04  0.1291E+04  0.1610E-03  0.7220E-02  0.7980E-10  0.1703E+01  0.5191E-08  0.7186E-02 -0.1081E-02 -0.1613E-02 -0.9320E-02  0.9372E-03  0.4988E-02  0.3567E-02
    16  0.1170E+02  0.0000E+00  0.1534E-03  0.1627E-02  0.3790E-10  0.1748E+00  0.1934E+00  0.2943E-01  0.1485E-01  0.5046E+00 -0.3069E-01  0.1288E+04  0.1288E+04  0.1288E+04  0.2042E-03  0.7161E-02  0.8050E-10  0.1725E+01  0.3980E-08  0.7126E-02 -0.1094E-02 -0.1668E-02 -0.7282E-02  0.3081E-03  0.4521E-02  0.3814E-02
    17  0.1248E+02  0.0000E+00  0.1532E-03  0.1618E-02  0.3769E-10  0.1793E+00  0.1935E+00  0.3069E-01  0.5464E-03  0.5217E+00 -0.4431E-01  0.1286E+04  0.1286E+04  0.1286E+04  0.2203E-03  0.7041E-02  0.8162E-10  0.1950E+01  0.4797E-08  0.6996E-02 -0.1199E-02 -0.1568E-02 -0.7297E-02  0.9281E-03  0.5335E-02  0.3871E-02
    18  0.1326E+02  0.0000E+00  0.1527E-03  0.1615E-02  0.3740E-10  0.1763E+00  0.1936E+00  0.2946E-01  0.4980E-01  0.5374E+00 -0.3618E-01  0.1285E+04  0.1285E+04  0.1285E+04  0.1527E-03  0.6933E-02  0.8273E-10  0.1907E+01  0.4416E-08  0.6888E-02 -0.1165E-02 -0.1550E-02 -0.7030E-02 -0.2875E-03  0.4727E-02  0.3856E-02
    19  0.1404E+02  0.0000E+00  0.1526E-03  0.1596E-02  0.3709E-10  0.1760E+00  0.1940E+00  0.3039E-01 -0.2916E-01  0.5503E+00 -0.7209E-02  0.1279E+04  0.1279E+04  0.1279E+04  0.1741E-03  0.6817E-02  0.8310E-10  0.1909E+01  0.3307E-08  0.6770E-02 -0.1100E-02 -0.1658E-02 -0.6044E-02 -0.4524E-03  0.5085E-02  0.4207E-02
    20  0.1482E+02  0.0000E+00  0.1524E-03  0.1583E-02  0.3647E-10  0.1772E+00  0.1943E+00  0.3059E-01  0.7384E-01  0.5497E+00  0.2713E-01  0.1271E+04  0.1271E+04  0.1271E+04  0.2163E-03  0.6824E-02  0.8259E-10  0.2235E+01  0.2575E-08  0.6759E-02 -0.1182E-02 -0.1633E-02 -0.8549E-02 -0.5115E-03  0.6372E-02  0.4332E-02
    21  0.1560E+02  0.0000E+00  0.1507E-03  0.1584E-02  0.3587E-10  0.1771E+00  0.1947E+00  0.2945E-01 -0.6526E-02  0.5387E+00  0.5490E-01  0.1269E+04  0.1269E+04  0.1269E+04  0.1778E-03  0.6907E-02  0.8166E-10  0.2206E+01  0.1306E-08  0.6847E-02 -0.1210E-02 -0.1536E-02 -0.6767E-02  0.7498E-03  0.4104E-02  0.3974E-02
    22  0.1638E+02  0.0000E+00  0.1511E-03  0.1581E-02  0.3586E-10  0.1805E+00  0.1952E+00  0.3129E-01 -0.5669E-03  0.5183E+00  0.5393E-01  0.1268E+04  0.1268E+04  0.1268E+04  0.1625E-03  0.7018E-02  0.7989E-10  0.1654E+01 -0.4833E-09  0.6984E-02 -0.1156E-02 -0.1614E-02 -0.6350E-02 -0.4458E-03  0.6215E-02  0.4000E-02
    23  0.1716E+02  0.0000E+00  0.1500E-03  0.1567E-02  0.3484E-10  0.1819E+00  0.1955E+00  0.3034E-01  0.6386E-01  0.5075E+00  0.2807E-01  0.1262E+04  0.1262E+04  0.1262E+04  0.2060E-03  0.7073E-02  0.7861E-10  0.1903E+01 -0.2209E-08  0.7028E-02 -0.1188E-02 -0.1661E-02 -0.8201E-02 -0.1182E-02  0.5821E-02  0.4175E-02
    24  0.1794E+02  0.0000E+00  0.1497E-03  0.1573E-02  0.3485E-10  0.1834E+00  0.1957E+00  0.2984E-01 -0.1342E-01  0.5060E+00 -0.2543E-02  0.1259E+04  0.1259E+04  0.1259E+04  0.1952E-03  0.7090E-02  0.7856E-10  0.1700E+01 -0.9599E-09  0.7055E-02 -0.1230E-02 -0.1544E-02 -0.7200E-02  0.2507E-02  0.3225E-02  0.3870E-02
    25  0.1872E+02  0.0000E+00  0.1471E-03  0.1563E-02  0.3346E-10  0.1855E+00  0.1959E+00  0.3100E-01  0.2545E-01  0.5113E+00 -0.2253E-01  0.1252E+04  0.1252E+04  0.1252E+04  0.1683E-03  0.7039E-02  0.7869E-10  0.1813E+01 -0.2004E-08  0.7002E-02 -0.1198E-02 -0.1637E-02 -0.6149E-02 -0.9050E-04  0.5588E-02  0.4162E-02
    26  0.1950E+02  0.0000E+00  0.1459E-03  0.1564E-02  0.3286E-10  0.1910E+00  0.1958E+00  0.3062E-01  0.1032E-01  0.5248E+00 -0.3816E-01  0.1250E+04  0.1250E+04  0.1250E+04  0.2126E-03  0.6940E-02  0.7978E-10  0.1448E+01 -0.2990E-08  0.6916E-02 -0.1216E-02 -0.1641E-02 -0.7220E-02 -0.2511E-02  0.6017E-02  0.4343E-02
    27  0.2028E+02  0.0000E+00  0.1466E-03  0.1563E-02  0.3303E-10  0.1903E+00  0.1956E+00  0.3103E-01  0.1780E-01  0.5422E+00 -0.3832E-01  0.1246E+04  0.1246E+04  0.1246E+04  0.1832E-03  0.6817E-02  0.8110E-10  0.1346E+01 -0.4335E-09  0.6796E-02 -0.1215E-02 -0.1518E-02 -0.8133E-02  0.5040E-03  0.5542E-02  0.4068E-02
    28  0.2106E+02  0.0000E+00  0.1459E-03  0.1566E-02  0.3281E-10  0.1984E+00  0.1953E+00  0.3040E-01  0.1241E-01  0.5533E+00 -0.1035E-01  0.1241E+04  0.1241E+04  0.1241E+04  0.1713E-03  0.6737E-02  0.8211E-10  0.1108E+01  0.2404E-08  0.6722E-02 -0.1158E-02 -0.1603E-02 -0.8056E-02 -0.1790E-02  0.5054E-02  0.4298E-02
    29  0.2184E+02  0.0000E+00  0.1447E-03  0.1567E-02  0.3231E-10  0.1934E+00  0.1949E+00  0.3040E-01 -0.1787E-01  0.5499E+00  0.2240E-01  0.1235E+04  0.1235E+04  0.1235E+04  0.1996E-03  0.6747E-02  0.8201E-10  0.9199E+00  0.9851E-09  0.6737E-02 -0.1171E-02 -0.1655E-02 -0.8485E-02  0.1182E-02  0.4299E-02  0.4485E-02
    30  0.2262E+02  0.0000E+00  0.1436E-03  0.1568E-02  0.3203E-10  0.1916E+00  0.1945E+00  0.3110E-01  0.3126E-01  0.5373E+00  0.4556E-01  0.1232E+04  0.1232E+04  0.1232E+04  0.1983E-03  0.6819E-02  0.8124E-10  0.7754E+00  0.3223E-08  0.6813E-02 -0.1193E-02 -0.1602E-02 -0.5666E-02  0.7962E-03  0.3065E-02  0.4237E-02
    31  0.2340E+02  0.0000E+00  0.1445E-03  0.1560E-02  0.3214E-10  0.1950E+00  0.1940E+00  0.2945E-01 -0.1006E-01  0.5224E+00  0.4210E-01  0.1230E+04  0.1230E+04  0.1230E+04  0.1755E-03  0.6887E-02  0.8010E-10  0.9420E+00  0.8072E-08  0.6877E-02 -0.1188E-02 -0.1563E-02 -0.7084E-02 -0.5102E-03  0.4514E-02  0.4010E-02
    32  0.2418E+02  0.0000E+00  0.1451E-03  0.1551E-02  0.3223E-10  0.1931E+00  0.1936E+00  0.3045E-01  0.2337E-01  0.5143E+00  0.3096E-01  0.1228E+04  0.1228E+04  0.1228E+04  0.1586E-03  0.6910E-02  0.7938E-10  0.1012E+01  0.1011E-07  0.6899E-02 -0.1110E-02 -0.1596E-02 -0.8014E-02  0.8957E-03  0.4057E-02  0.3892E-02
    33  0.2496E+02  0.0000E+00  0.1449E-03  0.1552E-02  0.3223E-10  0.1900E+00  0.1934E+00  0.3003E-01 -0.6468E-02  0.5094E+00  0.1368E-01  0.1225E+04  0.1225E+04  0.1225E+04  0.1924E-03  0.6951E-02  0.7917E-10  0.1469E+01  0.1380E-07  0.6927E-02 -0.1096E-02 -0.1659E-02 -0.8008E-02  0.2530E-03  0.4737E-02  0.4027E-02
    34  0.2574E+02  0.0000E+00  0.1446E-03  0.1544E-02  0.3199E-10  0.1910E+00  0.1933E+00  0.3025E-01  0.5484E-01  0.5097E+00 -0.1678E-03  0.1224E+04  0.1224E+04  0.1224E+04  0.2129E-03  0.6943E-02  0.7897E-10  0.1874E+01  0.1202E-07  0.6904E-02 -0.1159E-02 -0.1599E-02 -0.7734E-02 -0.8205E-03  0.4676E-02  0.3973E-02
    35  0.2652E+02  0.0000E+00  0.1442E-03  0.1549E-02  0.3204E-10  0.1928E+00  0.1934E+00  0.2959E-01 -0.2750E-01  0.5145E+00 -0.1358E-01  0.1220E+04  0.1220E+04  0.1220E+04  0.1771E-03  0.6939E-02  0.7942E-10  0.2222E+01  0.1053E-07  0.6884E-02 -0.1166E-02 -0.1525E-02 -0.7359E-02  0.6352E-03  0.4566E-02  0.3765E-02
    36  0.2730E+02  0.0000E+00  0.1442E-03  0.1545E-02  0.3210E-10  0.1917E+00  0.1936E+00  0.3063E-01  0.4963E-01  0.5262E+00 -0.1407E-01  0.1215E+04  0.1215E+04  0.1215E+04  0.1644E-03  0.6871E-02  0.8008E-10  0.2359E+01  0.5368E-08  0.6803E-02 -0.1119E-02 -0.1638E-02 -0.6581E-02 -0.4628E-03  0.5822E-02  0.4110E-02
    37  0.2808E+02  0.0000E+00  0.1418E-03  0.1541E-02  0.3096E-10  0.2029E+00  0.1939E+00  0.3026E-01 -0.7671E-02  0.5302E+00 -0.1058E-01  0.1212E+04  0.1212E+04  0.1212E+04  0.2177E-03  0.6837E-02  0.8018E-10  0.2354E+01  0.6814E-08  0.6776E-02 -0.1159E-02 -0.1667E-02 -0.5806E-02 -0.1491E-02  0.5790E-02  0.4353E-02
    38  0.2886E+02  0.0000E+00  0.1418E-03  0.1535E-02  0.3048E-10  0.2047E+00  0.1943E+00  0.3044E-01  0.6210E-01  0.5354E+00 -0.3431E-02  0.1209E+04  0.1209E+04  0.1209E+04  0.1958E-03  0.6799E-02  0.8032E-10  0.2283E+01  0.5937E-08  0.6739E-02 -0.1198E-02 -0.1522E-02 -0.8991E-02  0.8004E-03  0.6000E-02  0.4023E-02
    39  0.2964E+02  0.0000E+00  0.1394E-03  0.1518E-02  0.2938E-10  0.2020E+00  0.1947E+00  0.3001E-01 -0.1189E-02  0.5391E+00  0.1672E-01  0.1204E+04  0.1204E+04  0.1204E+04  0.1609E-03  0.6755E-02  0.7999E-10  0.2441E+01  0.1369E-08  0.6692E-02 -0.1128E-02 -0.1583E-02 -0.7247E-02 -0.1550E-03  0.4654E-02  0.4108E-02
    40  0.3042E+02  0.0000E+00  0.1397E-03  0.1502E-02  0.2898E-10  0.2056E+00  0.1951E+00  0.3144E-01  0.7525E-02  0.5344E+00  0.2688E-01  0.1201E+04  0.1201E+04  0.1201E+04  0.2156E-03  0.6740E-02  0.7910E-10  0.2065E+01 -0.6131E-09  0.6695E-02 -0.1178E-02 -0.1672E-02 -0.8605E-02 -0.6465E-03  0.6672E-02  0.4595E-02
