 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.2860E+02  0.0000E+00  0.3630E-02  0.9493E-02  0.1259E-06 -0.3602E-01  0.2124E+00  0.3776E+00  0.1671E+00  0.7781E+00 -0.2354E+00  0.4788E+05  0.4788E+05  0.4788E+05 -0.9435E-03  0.1552E-01  0.2264E-09  0.2741E+00  0.1463E-08  0.1522E-01 -0.7856E-02 -0.9879E-02 -0.7816E-01  0.2194E-01  0.5937E-01  0.4281E-01
    15  0.3080E+02  0.0000E+00  0.3519E-02  0.9560E-02  0.1221E-06 -0.3500E-01  0.2140E+00  0.3843E+00  0.1656E+00  0.1020E+01 -0.2103E+00  0.4773E+05  0.4773E+05  0.4773E+05 -0.1134E-02  0.1374E-01  0.2596E-09  0.3042E+00  0.2625E-08  0.1334E-01 -0.6563E-02 -0.1014E-01 -0.4647E-01 -0.9694E-02  0.6869E-01  0.5040E-01
    16  0.3300E+02  0.0000E+00  0.3436E-02  0.9797E-02  0.1199E-06 -0.3109E-01  0.2148E+00  0.3845E+00  0.1835E+00  0.1055E+01  0.1672E-01  0.4744E+05  0.4744E+05  0.4744E+05 -0.6713E-03  0.1356E-01  0.2671E-09  0.3499E+00  0.3059E-08  0.1303E-01 -0.7898E-02 -0.9389E-02 -0.6024E-01  0.1897E-01  0.7417E-01  0.5374E-01
    17  0.3520E+02  0.0000E+00  0.3358E-02  0.1007E-01  0.1167E-06 -0.3306E-01  0.2149E+00  0.3776E+00  0.1768E+00  0.8926E+00  0.1517E+00  0.4711E+05  0.4711E+05  0.4711E+05 -0.1110E-02  0.1511E-01  0.2492E-09  0.3966E+00  0.3130E-08  0.1453E-01 -0.8235E-02 -0.1069E-01 -0.5765E-01 -0.6502E-02  0.6971E-01  0.5203E-01
    18  0.3740E+02  0.0000E+00  0.3280E-02  0.9979E-02  0.1100E-06 -0.2568E-01  0.2148E+00  0.3772E+00  0.1816E+00  0.7332E+00  0.7275E-01  0.4675E+05  0.4675E+05  0.4675E+05 -0.6843E-03  0.1643E-01  0.2247E-09  0.4272E+00  0.2617E-08  0.1581E-01 -0.6359E-02 -0.9221E-02 -0.6547E-01  0.9456E-02  0.5574E-01  0.3172E-01
    19  0.3960E+02  0.0000E+00  0.3209E-02  0.9880E-02  0.1051E-06 -0.3155E-01  0.2143E+00  0.3689E+00  0.1779E+00  0.7420E+00 -0.7765E-01  0.4655E+05  0.4655E+05  0.4655E+05 -0.7640E-03  0.1627E-01  0.2248E-09  0.4409E+00  0.2197E-08  0.1562E-01 -0.8076E-02 -0.1040E-01 -0.5216E-01 -0.3416E-02  0.5478E-01  0.4248E-01
    20  0.4180E+02  0.0000E+00  0.3140E-02  0.9743E-02  0.9987E-07 -0.2442E-01  0.2132E+00  0.3626E+00  0.1628E+00  0.8465E+00 -0.9583E-01  0.4641E+05  0.4641E+05  0.4641E+05 -0.8105E-03  0.1523E-01  0.2389E-09  0.4561E+00  0.1989E-08  0.1449E-01 -0.7190E-02 -0.9552E-02 -0.6041E-01  0.1883E-01  0.5458E-01  0.3996E-01
    21  0.4400E+02  0.0000E+00  0.3078E-02  0.9578E-02  0.9445E-07 -0.3074E-01  0.2119E+00  0.3619E+00  0.1335E+00  0.8775E+00  0.2810E-01  0.4624E+05  0.4624E+05  0.4624E+05 -0.7428E-03  0.1478E-01  0.2417E-09  0.4698E+00  0.1398E-08  0.1399E-01 -0.5876E-02 -0.1027E-01 -0.5733E-01 -0.1133E-01  0.6204E-01  0.4162E-01
    22  0.4620E+02  0.0000E+00  0.3011E-02  0.9448E-02  0.8780E-07 -0.2099E-01  0.2110E+00  0.3674E+00  0.1346E+00  0.7806E+00  0.1096E+00  0.4601E+05  0.4601E+05  0.4601E+05 -0.4464E-03  0.1542E-01  0.2269E-09  0.4441E+00  0.8276E-09  0.1477E-01 -0.7842E-02 -0.9213E-02 -0.6319E-01  0.1350E-01  0.5410E-01  0.3916E-01
    23  0.4840E+02  0.0000E+00  0.2943E-02  0.9285E-02  0.8161E-07 -0.2380E-01  0.2109E+00  0.3650E+00  0.1476E+00  0.6997E+00  0.2211E-01  0.4584E+05  0.4584E+05  0.4584E+05 -0.9367E-03  0.1586E-01  0.2129E-09  0.3987E+00  0.4693E-09  0.1538E-01 -0.5851E-02 -0.1046E-01 -0.5262E-01 -0.2630E-02  0.5187E-01  0.3621E-01
    24  0.5060E+02  0.0000E+00  0.2888E-02  0.9246E-02  0.7760E-07 -0.2007E-01  0.2116E+00  0.3658E+00  0.1459E+00  0.7562E+00 -0.1087E+00  0.4572E+05  0.4572E+05  0.4572E+05 -0.2680E-03  0.1525E-01  0.2204E-09  0.3438E+00  0.8367E-09  0.1488E-01 -0.6766E-02 -0.9819E-02 -0.6750E-01  0.1494E-01  0.4895E-01  0.3845E-01
    25  0.5280E+02  0.0000E+00  0.2837E-02  0.9295E-02  0.7574E-07 -0.2555E-01  0.2124E+00  0.3695E+00  0.1399E+00  0.8800E+00 -0.1068E+00  0.4560E+05  0.4560E+05  0.4560E+05 -0.7641E-03  0.1422E-01  0.2382E-09  0.3328E+00  0.1683E-08  0.1386E-01 -0.7632E-02 -0.9618E-02 -0.5688E-01  0.1783E-02  0.5284E-01  0.4650E-01
    26  0.5500E+02  0.0000E+00  0.2781E-02  0.9444E-02  0.7428E-07 -0.1715E-01  0.2128E+00  0.3745E+00  0.1424E+00  0.9108E+00  0.2584E-02  0.4545E+05  0.4545E+05  0.4545E+05 -0.4621E-03  0.1407E-01  0.2443E-09  0.3512E+00  0.2251E-08  0.1368E-01 -0.6442E-02 -0.1030E-01 -0.6304E-01  0.7970E-03  0.5789E-01  0.4695E-01
    27  0.5720E+02  0.0000E+00  0.2724E-02  0.9617E-02  0.7239E-07 -0.2039E-01  0.2129E+00  0.3730E+00  0.1486E+00  0.8390E+00  0.6696E-01  0.4524E+05  0.4524E+05  0.4524E+05 -0.3650E-03  0.1483E-01  0.2367E-09  0.3756E+00  0.2330E-08  0.1441E-01 -0.7832E-02 -0.9470E-02 -0.5910E-01  0.2912E-02  0.5300E-01  0.4329E-01
    28  0.5940E+02  0.0000E+00  0.2668E-02  0.9645E-02  0.6965E-07 -0.1234E-01  0.2127E+00  0.3671E+00  0.1477E+00  0.7702E+00  0.1865E-01  0.4503E+05  0.4503E+05  0.4503E+05 -0.5719E-03  0.1547E-01  0.2273E-09  0.4004E+00  0.2452E-08  0.1503E-01 -0.7046E-02 -0.1005E-01 -0.6071E-01  0.3672E-02  0.5177E-01  0.3985E-01
    29  0.6160E+02  0.0000E+00  0.2616E-02  0.9512E-02  0.6643E-07 -0.1816E-01  0.2125E+00  0.3675E+00  0.1321E+00  0.7820E+00 -0.4918E-01  0.4483E+05  0.4483E+05  0.4483E+05 -0.3195E-03  0.1530E-01  0.2274E-09  0.4217E+00  0.2183E-08  0.1481E-01 -0.6648E-02 -0.1030E-01 -0.5773E-01  0.7589E-02  0.4835E-01  0.4036E-01
    30  0.6380E+02  0.0000E+00  0.2575E-02  0.9405E-02  0.6362E-07 -0.1433E-01  0.2120E+00  0.3689E+00  0.1358E+00  0.8310E+00 -0.4228E-01  0.4467E+05  0.4467E+05  0.4467E+05 -0.3551E-03  0.1476E-01  0.2334E-09  0.4293E+00  0.2062E-08  0.1426E-01 -0.7602E-02 -0.9213E-02 -0.6094E-01  0.1548E-02  0.5497E-01  0.4133E-01
    31  0.6600E+02  0.0000E+00  0.2523E-02  0.9267E-02  0.6034E-07 -0.1548E-01  0.2113E+00  0.3679E+00  0.1311E+00  0.8276E+00  0.3278E-01  0.4446E+05  0.4446E+05  0.4446E+05 -0.5248E-03  0.1468E-01  0.2314E-09  0.4429E+00  0.1719E-08  0.1415E-01 -0.6304E-02 -0.1042E-01 -0.5701E-01  0.1281E-02  0.5479E-01  0.4309E-01
