#NTuple/Z0
#Units are ns, meters, GeV/c, Tesla, and V/m
#IEVT IPNUM IPTYP IPFLG JSRG T X Y Z Px Py Pz Bx By Bz Weight Ex Ey Ez SARC POLx POLy POLz
31 1 2 0 1 4.40122e-07 0.017722 -0.0253467 0 0.0120929 -0.0318435 0.224464 -0.273117 0.620489 0.00532444 1.0000 0 0 0 0   0 0 0
32 1 2 0 1 4.40627e-07 -0.0204523 -0.0289945 0 -0.026235 -0.0333825 0.222843 0.315783 0.677918 0.00602998 1.0000 0 0 0 0   0 0 0
33 1 2 0 1 4.4061e-07 0.0193388 -0.028452 0 0.0170934 0.00903497 0.191253 -0.298422 0.669238 0.00592623 1.0000 0 0 0 0   0 0 0
34 1 2 0 1 4.3982e-07 -0.0171369 -0.00278101 0 -0.0173399 0.0174553 0.226133 0.262992 0.271312 0.00060281 1.0000 0 0 0 0   0 0 0
35 1 2 0 1 4.40596e-07 0.00288796 0.00237962 0 -0.0185199 -0.00298297 0.198481 -0.0442567 0.192162 -0.000515866 1.0000 0 0 0 0   0 0 0
36 1 2 0 1 4.40411e-07 -0.0213364 -0.0220276 0 0.0110473 0.0048081 0.220052 0.328793 0.569006 0.00466362 1.0000 0 0 0 0   0 0 0
37 1 2 0 1 4.40492e-07 0.00549274 0.00988504 0 0.00934103 0.0144938 0.220026 -0.0842214 0.0772398 -0.00213332 1.0000 0 0 0 0   0 0 0
38 1 2 0 1 4.40458e-07 -0.0183831 -0.0165092 0 0.00366593 0.00806492 0.211965 0.282744 0.483072 0.0035325 1.0000 0 0 0 0   0 0 0
39 1 2 0 1 4.40454e-07 -0.0582332 0.00224445 0 0.020388 -0.00320939 0.217663 0.911378 0.193501 -0.000486571 1.0000 0 0 0 0   0 0 0
40 1 2 0 1 4.40589e-07 -0.0486301 -0.0116595 0 -0.00339287 -0.00770981 0.216846 0.756606 0.410287 0.00251154 1.0000 0 0 0 0   0 0 0
41 1 2 0 1 4.40482e-07 -0.000689754 0.00176821 0 0.00732018 -0.0136028 0.21674 0.0105702 0.201527 -0.000383355 1.0000 0 0 0 0   0 0 0
42 1 2 0 1 4.40595e-07 0.0102046 -0.00393978 0 0.00592419 0.0154065 0.20426 -0.156463 0.289055 0.000853673 1.0000 0 0 0 0   0 0 0
43 1 2 0 1 4.40401e-07 0.0128131 0.0143997 0 0.0015766 -0.0292053 0.202826 -0.196745 0.00791514 -0.00309092 1.0000 0 0 0 0   0 0 0
44 1 2 0 1 4.39935e-07 -0.00450579 0.00628011 0 0.000137512 0.0247431 0.191937 0.0690659 0.132432 -0.00135922 1.0000 0 0 0 0   0 0 0
45 1 2 0 1 4.39903e-07 -0.00541934 0.00399223 0 -0.00163062 0.00292542 0.196634 0.0830645 0.167459 -0.000865014 1.0000 0 0 0 0   0 0 0
46 1 2 0 1 4.40348e-07 -0.0217759 0.0125202 0 0.0187459 0.0054205 0.197906 0.334972 0.0363302 -0.00269427 1.0000 0 0 0 0   0 0 0
47 1 2 0 1 4.39776e-07 -0.00947164 -0.0254026 0 -0.0124148 -0.010772 0.197929 0.145786 0.620864 0.00533537 1.0000 0 0 0 0   0 0 0
48 1 2 0 1 4.40316e-07 -0.0210268 0.00318254 0 0.00476478 -0.00461685 0.203967 0.323076 0.179739 -0.000689754 1.0000 0 0 0 0   0 0 0
49 1 2 0 1 4.40397e-07 -0.00686386 -0.000835395 0 0.00343602 0.00265731 0.185198 0.105206 0.241424 0.000181142 1.0000 0 0 0 0   0 0 0
50 1 2 0 1 4.40414e-07 -0.0144113 -0.00882108 0 -0.0113169 -0.000346823 0.196064 0.221133 0.364124 0.00190561 1.0000 0 0 0 0   0 0 0
51 1 2 0 1 4.404e-07 -0.0105122 -0.00353608 0 -0.00694165 -0.00425238 0.202577 0.161183 0.282861 0.000766305 1.0000 0 0 0 0   0 0 0
52 1 2 0 1 4.40482e-07 -0.0203154 -0.0210794 0 0.000273946 0.00317037 0.207403 0.31291 0.554161 0.00447201 1.0000 0 0 0 0   0 0 0
53 1 2 0 1 4.40421e-07 -0.00931144 -0.00228716 0 -0.0217323 -0.0205046 0.21052 0.142742 0.26369 0.000495828 1.0000 0 0 0 0   0 0 0
54 1 2 0 1 4.40427e-07 -0.0200169 -0.0206073 0 0.0108 -0.0108908 0.212646 0.308251 0.546788 0.00437613 1.0000 0 0 0 0   0 0 0
55 1 2 0 1 4.40423e-07 -0.00581148 -0.01748 0 -0.00699342 -0.00956847 0.207636 0.0892113 0.497548 0.00373409 1.0000 0 0 0 0   0 0 0
56 1 2 0 1 4.40234e-07 0.00626125 -0.0185475 0 0.0202271 -0.00238803 0.206119 -0.096152 0.514118 0.00395452 1.0000 0 0 0 0   0 0 0
57 1 2 0 1 4.40283e-07 -0.0191357 -0.0167916 0 -0.0286613 -0.0639746 0.236882 0.294391 0.487496 0.00359114 1.0000 0 0 0 0   0 0 0
