# ZVals	eperpErr	elongErr	transErr
0.000000e+00	5.062000e+00	9.406000e+00	1.000000e+02
2.200000e+00	4.985000e+00	8.759000e+00	9.763158e+01
4.400000e+00	4.777000e+00	8.519000e+00	9.636842e+01
6.600000e+00	4.662000e+00	8.200000e+00	9.573684e+01
8.800000e+00	4.463000e+00	9.250000e+00	9.442105e+01
1.100000e+01	4.300000e+00	9.443000e+00	9.215789e+01
1.320000e+01	4.093000e+00	8.944000e+00	9.031579e+01
1.540000e+01	4.100000e+00	8.793000e+00	8.973684e+01
1.760000e+01	4.003000e+00	9.355000e+00	9.021053e+01
1.980000e+01	3.944000e+00	9.041000e+00	9.000000e+01
2.200000e+01	3.839000e+00	8.875000e+00	8.978947e+01
2.420000e+01	3.781000e+00	8.582000e+00	8.910526e+01
2.640000e+01	3.688000e+00	8.371000e+00	8.842105e+01
2.860000e+01	3.595000e+00	8.242000e+00	8.831579e+01
3.080000e+01	3.553000e+00	8.309000e+00	8.821053e+01
3.300000e+01	3.519000e+00	8.662000e+00	8.800000e+01
3.520000e+01	3.407000e+00	8.515000e+00	8.715789e+01
3.740000e+01	3.344000e+00	8.678000e+00	8.684211e+01
3.960000e+01	3.290000e+00	8.823000e+00	8.673684e+01
4.180000e+01	3.232000e+00	8.633000e+00	8.657895e+01
4.400000e+01	3.164000e+00	8.564000e+00	8.652632e+01
4.620000e+01	3.086000e+00	8.324000e+00	8.578947e+01
4.840000e+01	2.999000e+00	8.274000e+00	8.547368e+01
5.060000e+01	2.897000e+00	8.136000e+00	8.515789e+01
5.280000e+01	2.915000e+00	8.135000e+00	8.489474e+01
5.500000e+01	2.891000e+00	8.459000e+00	8.457895e+01
5.720000e+01	2.840000e+00	8.393000e+00	8.410526e+01
5.940000e+01	2.800000e+00	8.471000e+00	8.373684e+01
6.160000e+01	2.772000e+00	8.485000e+00	8.347368e+01
6.380000e+01	2.733000e+00	8.435000e+00	8.305263e+01
6.600000e+01	2.679000e+00	8.357000e+00	8.278947e+01
