# ZVals	eperpErr	elongErr	transErr
0.000000e+00	2.748000e+00	7.822000e+00	1.000000e+02
1.800000e+00	3.150000e+00	7.993000e+00	9.818887e+01
3.600000e+00	3.213000e+00	8.089000e+00	9.333765e+01
5.400000e+00	4.380000e+00	4.717000e+01	9.734799e+01
7.200000e+00	4.013000e+00	4.785000e+01	9.113842e+01
9.000000e+00	4.297000e+00	4.465000e+01	8.525226e+01
1.080000e+01	3.604000e+00	2.519000e+01	7.619664e+01
1.260000e+01	3.999000e+00	2.181000e+01	7.373868e+01
1.440000e+01	4.111000e+00	2.190000e+01	7.309185e+01
1.620000e+01	5.056000e+00	2.568000e+01	7.296248e+01
1.800000e+01	4.984000e+00	2.830000e+01	7.186287e+01
1.980000e+01	5.299000e+00	2.763000e+01	6.921087e+01
2.160000e+01	5.011000e+00	2.586000e+01	6.649418e+01
2.340000e+01	5.025000e+00	2.391000e+01	6.267788e+01
2.520000e+01	4.863000e+00	3.495000e+01	6.170763e+01
2.700000e+01	4.949000e+00	4.196000e+01	5.924968e+01
2.880000e+01	5.001000e+00	4.777000e+01	5.517464e+01
3.060000e+01	4.826000e+00	4.793000e+01	5.194049e+01
3.240000e+01	4.731000e+00	4.188000e+01	4.818887e+01
3.420000e+01	4.200000e+00	3.381000e+01	4.527814e+01
3.600000e+01	4.275000e+00	3.453000e+01	4.424321e+01
3.780000e+01	4.263000e+00	3.324000e+01	4.340233e+01
3.960000e+01	4.572000e+00	2.917000e+01	4.223803e+01
4.140000e+01	4.271000e+00	2.777000e+01	4.172057e+01
4.320000e+01	4.644000e+00	2.449000e+01	4.113842e+01
4.500000e+01	4.573000e+00	2.315000e+01	4.049159e+01
4.680000e+01	4.594000e+00	2.297000e+01	3.952135e+01
4.860000e+01	4.485000e+00	2.284000e+01	3.848642e+01
5.040000e+01	4.071000e+00	2.146000e+01	3.706339e+01
5.220000e+01	3.947000e+00	2.121000e+01	3.615783e+01
5.400000e+01	3.904000e+00	2.224000e+01	3.531695e+01
5.580000e+01	3.903000e+00	2.323000e+01	3.454075e+01
5.760000e+01	3.797000e+00	2.630000e+01	3.447607e+01
5.940000e+01	3.725000e+00	2.748000e+01	3.408797e+01
6.120000e+01	3.680000e+00	2.579000e+01	3.369987e+01
6.300000e+01	3.548000e+00	2.284000e+01	3.279431e+01
6.480000e+01	3.633000e+00	2.124000e+01	3.247089e+01
6.660000e+01	3.437000e+00	2.007000e+01	3.214748e+01
6.840000e+01	3.483000e+00	1.842000e+01	3.188875e+01
7.020000e+01	3.340000e+00	1.813000e+01	3.169470e+01
7.200000e+01	3.268000e+00	1.842000e+01	3.163001e+01
