# ZVals	eperpErr	elongErr	transErr
0.000000e+00	2.472000e+00	7.527000e+00	1.000000e+02
1.800000e+00	2.780000e+00	7.741000e+00	9.907407e+01
3.600000e+00	2.982000e+00	7.486000e+00	9.743590e+01
5.400000e+00	3.165000e+00	9.124000e+00	9.437322e+01
7.200000e+00	3.080000e+00	1.107000e+01	9.045584e+01
9.000000e+00	3.053000e+00	1.169000e+01	8.653846e+01
1.080000e+01	3.172000e+00	1.122000e+01	8.454416e+01
1.260000e+01	3.948000e+00	1.372000e+01	8.568376e+01
1.440000e+01	3.996000e+00	1.679000e+01	8.653846e+01
1.620000e+01	4.808000e+00	2.004000e+01	8.710826e+01
1.800000e+01	4.592000e+00	2.005000e+01	8.482906e+01
1.980000e+01	5.057000e+00	1.770000e+01	8.183761e+01
2.160000e+01	4.690000e+00	1.667000e+01	7.735043e+01
2.340000e+01	4.440000e+00	1.598000e+01	7.293447e+01
2.520000e+01	4.100000e+00	1.003000e+01	6.552707e+01
2.700000e+01	4.105000e+00	1.202000e+01	6.396011e+01
2.880000e+01	4.581000e+00	3.948000e+01	6.673789e+01
3.060000e+01	4.344000e+00	4.024000e+01	6.381766e+01
3.240000e+01	4.304000e+00	3.641000e+01	6.039886e+01
3.420000e+01	3.797000e+00	2.261000e+01	5.591168e+01
3.600000e+01	4.136000e+00	2.187000e+01	5.562678e+01
3.780000e+01	4.179000e+00	2.129000e+01	5.470085e+01
3.960000e+01	4.349000e+00	2.052000e+01	5.441595e+01
4.140000e+01	4.127000e+00	2.023000e+01	5.377493e+01
4.320000e+01	4.216000e+00	1.891000e+01	5.349003e+01
4.500000e+01	4.044000e+00	1.826000e+01	5.249288e+01
4.680000e+01	3.993000e+00	1.826000e+01	5.170940e+01
4.860000e+01	3.943000e+00	1.800000e+01	5.092593e+01
5.040000e+01	3.701000e+00	1.731000e+01	4.964387e+01
5.220000e+01	3.632000e+00	1.823000e+01	4.893162e+01
5.400000e+01	3.633000e+00	1.979000e+01	4.836182e+01
5.580000e+01	3.636000e+00	2.003000e+01	4.750712e+01
5.760000e+01	3.616000e+00	2.159000e+01	4.764957e+01
5.940000e+01	3.587000e+00	2.098000e+01	4.707977e+01
6.120000e+01	3.521000e+00	1.950000e+01	4.658120e+01
6.300000e+01	3.420000e+00	1.873000e+01	4.636752e+01
6.480000e+01	3.416000e+00	1.791000e+01	4.615385e+01
6.660000e+01	3.388000e+00	1.697000e+01	4.594017e+01
6.840000e+01	3.300000e+00	1.631000e+01	4.558405e+01
7.020000e+01	3.275000e+00	1.607000e+01	4.537037e+01
7.200000e+01	3.145000e+00	1.621000e+01	4.508547e+01
