 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.2860E+02  0.0000E+00  0.3524E-02  0.8310E-02  0.1044E-06  0.3248E-01  0.2118E+00  0.3803E+00  0.1820E+00  0.8536E+00 -0.2532E+00  0.1671E+04  0.1671E+04  0.1671E+04  0.4101E-03  0.1393E-01  0.2220E-09  0.2808E+00  0.1018E-08  0.1362E-01 -0.7736E-02 -0.9180E-02 -0.1621E-01  0.2277E-01  0.5872E-01  0.4661E-01
    15  0.3080E+02  0.0000E+00  0.3447E-02  0.8484E-02  0.9927E-07  0.2966E-01  0.2141E+00  0.3834E+00  0.1912E+00  0.1086E+01 -0.1303E+00  0.1667E+04  0.1667E+04  0.1667E+04  0.4862E-03  0.1240E-01  0.2513E-09  0.2948E+00  0.1601E-08  0.1202E-01 -0.5831E-02 -0.1066E-01 -0.1302E+00 -0.5039E-01  0.8699E-01  0.6305E-01
    16  0.3300E+02  0.0000E+00  0.3347E-02  0.8906E-02  0.9825E-07  0.3536E-01  0.2158E+00  0.3808E+00  0.1463E+00  0.1009E+01  0.8144E-01  0.1660E+04  0.1660E+04  0.1660E+04  0.1041E-02  0.1318E-01  0.2483E-09  0.3153E+00  0.2977E-08  0.1278E-01 -0.8145E-02 -0.8393E-02 -0.6284E-01  0.5245E-01  0.5552E-01  0.5099E-01
    17  0.3520E+02  0.0000E+00  0.3238E-02  0.8884E-02  0.9558E-07  0.2288E-01  0.2167E+00  0.3864E+00  0.1437E+00  0.8237E+00  0.1555E+00  0.1648E+04  0.1648E+04  0.1648E+04  0.1742E-03  0.1472E-01  0.2241E-09  0.3489E+00  0.3230E-08  0.1429E-01 -0.8732E-02 -0.1171E-01 -0.7064E-02 -0.2031E-01  0.4765E-01  0.6232E-01
    18  0.3740E+02  0.0000E+00  0.3165E-02  0.8849E-02  0.8930E-07  0.2576E-01  0.2162E+00  0.3883E+00  0.2117E+00  0.7185E+00  0.5064E-01  0.1636E+04  0.1636E+04  0.1636E+04  0.6052E-03  0.1565E-01  0.2091E-09  0.4217E+00  0.3061E-08  0.1509E-01 -0.7895E-02 -0.8875E-02 -0.8048E-01  0.2514E-01  0.5379E-01  0.3847E-01
    19  0.3960E+02  0.0000E+00  0.3176E-02  0.9109E-02  0.9466E-07  0.1965E-01  0.2148E+00  0.3638E+00  0.1620E+00  0.7378E+00 -0.8658E-01  0.1637E+04  0.1637E+04  0.1637E+04  0.4654E-04  0.1572E-01  0.2166E-09  0.4243E+00  0.3325E-08  0.1507E-01 -0.5934E-02 -0.9947E-02 -0.5814E-01 -0.2292E-01  0.6820E-01  0.3728E-01
    20  0.4180E+02  0.0000E+00  0.3031E-02  0.8708E-02  0.8403E-07  0.3046E-01  0.2125E+00  0.3586E+00  0.1226E+00  0.8327E+00 -0.7471E-01  0.1629E+04  0.1629E+04  0.1629E+04  0.9207E-03  0.1464E-01  0.2247E-09  0.5114E+00  0.2207E-08  0.1376E-01 -0.7698E-02 -0.9875E-02 -0.6419E-01  0.2369E-01  0.5098E-01  0.4581E-01
    21  0.4400E+02  0.0000E+00  0.2978E-02  0.8481E-02  0.7953E-07  0.1831E-01  0.2103E+00  0.3561E+00  0.8196E-01  0.8393E+00  0.7028E-01  0.1627E+04  0.1627E+04  0.1627E+04 -0.2700E-04  0.1438E-01  0.2236E-09  0.5118E+00  0.1181E-08  0.1342E-01 -0.6645E-02 -0.9655E-02 -0.2597E-01 -0.8351E-02  0.6924E-01  0.4313E-01
    22  0.4620E+02  0.0000E+00  0.2922E-02  0.8520E-02  0.7436E-07  0.2342E-01  0.2091E+00  0.3820E+00  0.1161E+00  0.7408E+00  0.1142E+00  0.1621E+04  0.1621E+04  0.1621E+04  0.3125E-03  0.1503E-01  0.2111E-09  0.4675E+00  0.4780E-09  0.1432E-01 -0.5505E-02 -0.1004E-01 -0.8036E-01  0.1052E-01  0.6664E-01  0.3732E-01
    23  0.4840E+02  0.0000E+00  0.2884E-02  0.8636E-02  0.7264E-07  0.1528E-01  0.2094E+00  0.3756E+00  0.1824E+00  0.6915E+00 -0.3987E-01  0.1622E+04  0.1622E+04  0.1622E+04  0.2247E-03  0.1537E-01  0.2051E-09  0.4020E+00  0.2906E-09  0.1485E-01 -0.6323E-02 -0.9818E-02 -0.5796E-01  0.2539E-02  0.6335E-01  0.3735E-01
    24  0.5060E+02  0.0000E+00  0.2786E-02  0.8469E-02  0.6714E-07  0.1665E-01  0.2107E+00  0.3566E+00  0.1772E+00  0.8053E+00 -0.1600E+00  0.1616E+04  0.1616E+04  0.1616E+04  0.2065E-03  0.1418E-01  0.2188E-09  0.3258E+00  0.1632E-08  0.1385E-01 -0.6554E-02 -0.9736E-02 -0.4078E-01  0.1163E-01  0.4832E-01  0.4215E-01
    25  0.5280E+02  0.0000E+00  0.2738E-02  0.8489E-02  0.6441E-07  0.1048E-01  0.2123E+00  0.3687E+00  0.1603E+00  0.9608E+00 -0.8248E-01  0.1611E+04  0.1611E+04  0.1611E+04  0.9105E-04  0.1302E-01  0.2382E-09  0.3311E+00  0.2043E-08  0.1264E-01 -0.7625E-02 -0.1034E-01 -0.6940E-01 -0.9710E-02  0.5378E-01  0.5962E-01
    26  0.5500E+02  0.0000E+00  0.2682E-02  0.8820E-02  0.6415E-07  0.1105E-01  0.2133E+00  0.3733E+00  0.1393E+00  0.9355E+00  0.5896E-01  0.1600E+04  0.1600E+04  0.1600E+04 -0.2697E-05  0.1349E-01  0.2399E-09  0.3580E+00  0.3297E-08  0.1309E-01 -0.6395E-02 -0.9496E-02 -0.6985E-01  0.2076E-01  0.4862E-01  0.4498E-01
    27  0.5720E+02  0.0000E+00  0.2671E-02  0.8921E-02  0.6468E-07 -0.1249E-02  0.2140E+00  0.3712E+00  0.1542E+00  0.8138E+00  0.9341E-01  0.1592E+04  0.1592E+04  0.1592E+04  0.6614E-04  0.1463E-01  0.2249E-09  0.3745E+00  0.3234E-08  0.1418E-01 -0.7686E-02 -0.1044E-01 -0.6730E-01 -0.8142E-02  0.6214E-01  0.4985E-01
    28  0.5940E+02  0.0000E+00  0.2585E-02  0.8825E-02  0.6078E-07  0.7309E-02  0.2141E+00  0.3712E+00  0.1366E+00  0.7433E+00  0.3172E-01  0.1579E+04  0.1579E+04  0.1579E+04  0.3029E-04  0.1524E-01  0.2130E-09  0.4365E+00  0.2566E-08  0.1470E-01 -0.7924E-02 -0.9374E-02 -0.4508E-01 -0.6428E-02  0.5901E-01  0.4200E-01
    29  0.6160E+02  0.0000E+00  0.2525E-02  0.8840E-02  0.5821E-07  0.9320E-02  0.2134E+00  0.3740E+00  0.1338E+00  0.7597E+00 -0.4137E-01  0.1577E+04  0.1577E+04  0.1577E+04 -0.8344E-04  0.1514E-01  0.2156E-09  0.4740E+00  0.2229E-08  0.1453E-01 -0.6983E-02 -0.9704E-02 -0.5250E-01  0.9073E-02  0.5467E-01  0.4000E-01
    30  0.6380E+02  0.0000E+00  0.2479E-02  0.8746E-02  0.5540E-07 -0.1026E-01  0.2122E+00  0.3770E+00  0.1276E+00  0.8099E+00 -0.2587E-01  0.1569E+04  0.1569E+04  0.1569E+04 -0.2510E-03  0.1466E-01  0.2219E-09  0.5155E+00  0.1847E-08  0.1393E-01 -0.7292E-02 -0.1065E-01 -0.7279E-01  0.5067E-02  0.6355E-01  0.4915E-01
    31  0.6600E+02  0.0000E+00  0.2418E-02  0.8664E-02  0.5221E-07 -0.9738E-02  0.2107E+00  0.3754E+00  0.1405E+00  0.7901E+00  0.5620E-01  0.1562E+04  0.1562E+04  0.1562E+04 -0.2546E-03  0.1461E-01  0.2188E-09  0.4958E+00  0.1167E-08  0.1399E-01 -0.6257E-02 -0.9028E-02 -0.4677E-01  0.7931E-02  0.6117E-01  0.3623E-01
