# ZVals	eperpErrAvg	eperpNoErr	eperpErrB	elongErrAvg	elongNoErr	elongErrB	transErrAvg	transNoErr	transErrB
0.000000e+00	1.879000e+01	1.879000e+01	0.000000e+00	2.337000e+02	2.337000e+02	0.000000e+00	1.000000e+02	1.000000e+02	0.000000e+00
2.200000e+00	1.897500e+01	1.933000e+01	8.838835e-02	2.050000e+02	2.097000e+02	1.909188e+00	8.117493e+01	8.159115e+01	2.943125e-01
4.400000e+00	1.730500e+01	1.728000e+01	2.474874e-02	1.975500e+02	1.977000e+02	3.181981e-01	7.401594e+01	7.401594e+01	0.000000e+00
6.600000e+00	1.633000e+01	1.638000e+01	0.000000e+00	2.000500e+02	1.995000e+02	3.535534e-02	7.013914e+01	7.013914e+01	0.000000e+00
8.800000e+00	1.711500e+01	1.715000e+01	2.722361e-01	2.260500e+02	2.208000e+02	3.889087e-01	6.639315e+01	6.734451e+01	0.000000e+00
1.100000e+01	1.732000e+01	1.716000e+01	7.071068e-02	2.187000e+02	2.088000e+02	0.000000e+00	6.371150e+01	6.378880e+01	1.892009e-01
1.320000e+01	1.688000e+01	1.741000e+01	2.050610e-01	1.842000e+02	2.075000e+02	1.909188e+00	5.598763e+01	5.659413e+01	2.522678e-02
1.540000e+01	1.802500e+01	1.799000e+01	2.368808e-01	2.502500e+02	2.464000e+02	3.889087e-01	5.129028e+01	5.092163e+01	2.774946e-01
1.760000e+01	1.593000e+01	1.644000e+01	3.252691e-01	2.586500e+02	2.523000e+02	6.965002e+00	4.504697e+01	4.452372e+01	6.727143e-02
1.980000e+01	1.640000e+01	1.654000e+01	5.444722e-01	2.520500e+02	2.408000e+02	3.298653e+01	4.087287e+01	4.036152e+01	5.465803e-01
2.200000e+01	1.482000e+01	1.427000e+01	4.171930e-01	2.737500e+02	2.507000e+02	6.470027e+00	3.552741e+01	3.354739e+01	1.820533e+00
2.420000e+01	1.543000e+01	1.374000e+01	7.071068e-01	2.818500e+02	2.619000e+02	1.520280e+00	3.041384e+01	3.063384e+01	2.299842e+00
2.640000e+01	1.313500e+01	1.430000e+01	2.793072e-01	2.425500e+02	2.686000e+02	7.459977e+00	2.706029e+01	3.063384e+01	1.576674e+00
2.860000e+01	1.261500e+01	1.754000e+01	1.378858e-01	2.096500e+02	2.636000e+02	1.237437e+00	2.601974e+01	2.768462e+01	1.732239e+00
3.080000e+01	1.280000e+01	1.372000e+01	1.202082e-01	2.023500e+02	1.799000e+02	1.721805e+01	2.506838e+01	2.489000e+01	1.791102e+00
3.300000e+01	1.387500e+01	1.575000e+01	2.439518e-01	1.819000e+02	1.996000e+02	9.263099e+00	2.444405e+01	2.251159e+01	1.425313e+00
3.520000e+01	1.244000e+01	1.273000e+01	8.555992e-01	1.931500e+02	1.468000e+02	6.965002e+00	2.302890e+01	2.104888e+01	1.812124e+00
3.740000e+01	1.221500e+01	1.355000e+01	2.722361e-01	1.914500e+02	2.258000e+02	2.938029e+01	2.205970e+01	2.104888e+01	1.126796e+00
3.960000e+01	1.249000e+01	1.399000e+01	9.192388e-02	1.564500e+02	1.844000e+02	9.722718e+00	2.172078e+01	2.104888e+01	8.871419e-01
4.180000e+01	1.205500e+01	1.450000e+01	7.601398e-01	1.264500e+02	1.685000e+02	7.106423e+00	2.158402e+01	2.037103e+01	9.838446e-01
4.400000e+01	1.348000e+01	1.330000e+01	7.353911e-01	1.475000e+02	1.534000e+02	3.464823e+00	2.165537e+01	2.020454e+01	9.333910e-01
4.620000e+01	1.313500e+01	1.389000e+01	6.328606e-01	1.677500e+02	1.449000e+02	2.474874e-01	2.103104e+01	2.020454e+01	7.105544e-01
4.840000e+01	1.235000e+01	1.077000e+01	2.404163e-01	2.003500e+02	1.399000e+02	6.965002e+00	2.072185e+01	1.834939e+01	3.994241e-01
5.060000e+01	1.204000e+01	8.528000e+00	2.192031e-01	2.071500e+02	1.678000e+02	1.530886e+01	1.994292e+01	1.775479e+01	9.502089e-01
5.280000e+01	1.222500e+01	8.949000e+00	1.767767e-02	1.238000e+02	1.150000e+02	1.697056e+00	1.883101e+01	1.700559e+01	1.307588e+00
5.500000e+01	1.322500e+01	9.435000e+00	1.495531e+00	1.173000e+02	6.961000e+01	1.067731e+01	1.817695e+01	1.700559e+01	1.450540e+00
5.720000e+01	1.088900e+01	1.267000e+01	1.103794e+00	9.690500e+01	8.158000e+01	6.077583e+00	1.598882e+01	1.580450e+01	1.778488e+00
5.940000e+01	9.471000e+00	7.947000e+00	3.606245e-02	1.229500e+02	9.487000e+01	8.131728e-01	1.507135e+01	1.403258e+01	2.427237e+00
6.160000e+01	9.403500e+00	1.002000e+01	2.004648e-01	8.095500e+01	1.243000e+02	2.096218e+01	1.471459e+01	1.410394e+01	2.267468e+00
6.380000e+01	1.051000e+01	9.059000e+00	2.121320e-02	7.434000e+01	8.214000e+01	1.899289e+01	1.431026e+01	1.310501e+01	1.981564e+00
6.600000e+01	8.851000e+00	8.619000e+00	7.919596e-02	6.963000e+01	7.084000e+01	6.604377e+00	1.387026e+01	1.310501e+01	1.577935e+00
