# ZVals	eperpErrAvg	eperpNoErr	eperpErrB	elongErrAvg	elongNoErr	elongErrB	transErrAvg	transNoErr	transErrB
0.000000e+00	2.049000e+00	2.049000e+00	0.000000e+00	2.984000e+01	2.984000e+01	0.000000e+00	1.000000e+02	1.000000e+02	0.000000e+00
1.500000e+00	2.284000e+00	2.290000e+00	1.202082e-02	3.909500e+01	3.924000e+01	3.358757e-01	9.939880e+01	9.939880e+01	0.000000e+00
3.000000e+00	2.359500e+00	2.436000e+00	1.944544e-02	5.091000e+01	5.288000e+01	7.283200e-01	9.736974e+01	9.769539e+01	2.656964e-01
4.500000e+00	4.039000e+00	4.052000e+00	2.050610e-02	6.178500e+01	6.449000e+01	2.252135e+00	8.915331e+01	8.922846e+01	8.325155e-01
6.000000e+00	4.371500e+00	4.342000e+00	7.035712e-02	7.311500e+01	7.518000e+01	7.318555e-01	6.089679e+01	6.232465e+01	2.993513e+00
7.500000e+00	4.999000e+00	5.058000e+00	5.727565e-02	8.382000e+01	8.593000e+01	1.661701e+00	3.790080e+01	3.927856e+01	2.639251e+00
9.000000e+00	5.207500e+00	5.294000e+00	1.205617e-01	9.149000e+01	9.302000e+01	7.353911e-01	2.464930e+01	2.610220e+01	2.586112e+00
1.050000e+01	4.613500e+00	5.463000e+00	1.700592e-01	8.621500e+01	8.842000e+01	8.025662e-01	1.693387e+01	1.893788e+01	2.019293e+00
1.200000e+01	4.807500e+00	5.604000e+00	1.092480e-01	8.013000e+01	7.868000e+01	2.291026e+00	1.350200e+01	1.447896e+01	1.824449e+00
1.350000e+01	3.611000e+00	3.974000e+00	1.767767e-02	6.354000e+01	5.895000e+01	2.524371e+00	1.032064e+01	1.112224e+01	1.310769e+00
1.500000e+01	4.310500e+00	3.902000e+00	2.209709e-01	5.259500e+01	4.682000e+01	1.226830e+00	9.093186e+00	9.569138e+00	1.257630e+00
1.650000e+01	4.305000e+00	4.718000e+00	1.096016e-01	4.282000e+01	4.275000e+01	5.939697e-01	7.840681e+00	8.517034e+00	1.080499e+00
1.800000e+01	4.621000e+00	4.800000e+00	3.606245e-02	3.278000e+01	3.572000e+01	2.248600e+00	6.938878e+00	7.715431e+00	1.045073e+00
1.950000e+01	4.618500e+00	4.605000e+00	4.702260e-02	2.915000e+01	3.081000e+01	1.909188e+00	6.437876e+00	7.214429e+00	9.387941e-01
