 #NTuple/Z0                                                                      
 # output from Ecalc9f version   2.09
 # settings: 
 #   particle type:            2
 #   pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
 #   transverse cuts:    0.0000000000000000        0.0000000000000000     
 #   longitudinal cut:    0.0000000000000000     
 #   RF frequency (MHz):    352.00000000000000     
 #   sigma cut:    4.0000000000000000     
 #   subtract out amplitude correlation
 #   wrnew9 =  F

 # regn   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.2860E+02  0.0000E+00  0.3633E-02  0.9490E-02  0.1260E-06 -0.3635E-01  0.2124E+00  0.3777E+00  0.1671E+00  0.7774E+00 -0.2350E+00  0.4788E+05  0.4788E+05  0.4788E+05 -0.9524E-03  0.1553E-01  0.2263E-09  0.2745E+00  0.1466E-08  0.1522E-01 -0.7867E-02 -0.9884E-02 -0.7832E-01  0.2158E-01  0.5960E-01  0.4289E-01
    15  0.3080E+02  0.0000E+00  0.3522E-02  0.9563E-02  0.1224E-06 -0.3520E-01  0.2140E+00  0.3843E+00  0.1663E+00  0.1019E+01 -0.2107E+00  0.4773E+05  0.4773E+05  0.4773E+05 -0.1143E-02  0.1375E-01  0.2596E-09  0.3052E+00  0.2620E-08  0.1335E-01 -0.6550E-02 -0.1013E-01 -0.4636E-01 -0.9342E-02  0.6880E-01  0.5026E-01
    16  0.3300E+02  0.0000E+00  0.3438E-02  0.9792E-02  0.1200E-06 -0.3113E-01  0.2148E+00  0.3845E+00  0.1836E+00  0.1055E+01  0.1610E-01  0.4744E+05  0.4744E+05  0.4744E+05 -0.6709E-03  0.1356E-01  0.2670E-09  0.3519E+00  0.3044E-08  0.1302E-01 -0.7896E-02 -0.9394E-02 -0.6047E-01  0.1848E-01  0.7461E-01  0.5376E-01
    17  0.3520E+02  0.0000E+00  0.3360E-02  0.1005E-01  0.1168E-06 -0.3301E-01  0.2149E+00  0.3774E+00  0.1765E+00  0.8917E+00  0.1514E+00  0.4710E+05  0.4710E+05  0.4710E+05 -0.1112E-02  0.1512E-01  0.2489E-09  0.3995E+00  0.3128E-08  0.1452E-01 -0.8245E-02 -0.1068E-01 -0.5721E-01 -0.5939E-02  0.6977E-01  0.5200E-01
    18  0.3740E+02  0.0000E+00  0.3282E-02  0.9972E-02  0.1101E-06 -0.2599E-01  0.2148E+00  0.3773E+00  0.1806E+00  0.7333E+00  0.7231E-01  0.4674E+05  0.4674E+05  0.4674E+05 -0.6921E-03  0.1643E-01  0.2245E-09  0.4314E+00  0.2574E-08  0.1581E-01 -0.6332E-02 -0.9237E-02 -0.6572E-01  0.9090E-02  0.5647E-01  0.3176E-01
    19  0.3960E+02  0.0000E+00  0.3210E-02  0.9864E-02  0.1050E-06 -0.3188E-01  0.2143E+00  0.3692E+00  0.1773E+00  0.7415E+00 -0.7734E-01  0.4654E+05  0.4654E+05  0.4654E+05 -0.7695E-03  0.1627E-01  0.2244E-09  0.4431E+00  0.2083E-08  0.1561E-01 -0.8104E-02 -0.1037E-01 -0.5197E-01 -0.3148E-02  0.5509E-01  0.4248E-01
    20  0.4180E+02  0.0000E+00  0.3140E-02  0.9738E-02  0.9978E-07 -0.2477E-01  0.2132E+00  0.3627E+00  0.1633E+00  0.8466E+00 -0.9518E-01  0.4641E+05  0.4641E+05  0.4641E+05 -0.8245E-03  0.1522E-01  0.2387E-09  0.4549E+00  0.1878E-08  0.1449E-01 -0.7162E-02 -0.9576E-02 -0.6062E-01  0.1859E-01  0.5457E-01  0.4002E-01
    21  0.4400E+02  0.0000E+00  0.3078E-02  0.9568E-02  0.9418E-07 -0.3082E-01  0.2119E+00  0.3612E+00  0.1328E+00  0.8761E+00  0.2916E-01  0.4623E+05  0.4623E+05  0.4623E+05 -0.7363E-03  0.1476E-01  0.2414E-09  0.4651E+00  0.1290E-08  0.1400E-01 -0.5890E-02 -0.1025E-01 -0.5755E-01 -0.1055E-01  0.6135E-01  0.4156E-01
    22  0.4620E+02  0.0000E+00  0.3013E-02  0.9437E-02  0.8780E-07 -0.2168E-01  0.2110E+00  0.3675E+00  0.1324E+00  0.7791E+00  0.1087E+00  0.4600E+05  0.4600E+05  0.4600E+05 -0.4622E-03  0.1542E-01  0.2265E-09  0.4383E+00  0.8232E-09  0.1478E-01 -0.7850E-02 -0.9217E-02 -0.6356E-01  0.1248E-01  0.5365E-01  0.3922E-01
    23  0.4840E+02  0.0000E+00  0.2943E-02  0.9275E-02  0.8148E-07 -0.2442E-01  0.2109E+00  0.3654E+00  0.1479E+00  0.6996E+00  0.2059E-01  0.4583E+05  0.4583E+05  0.4583E+05 -0.9494E-03  0.1585E-01  0.2128E-09  0.3931E+00  0.5261E-09  0.1537E-01 -0.5825E-02 -0.1043E-01 -0.5265E-01 -0.1884E-02  0.5160E-01  0.3608E-01
    24  0.5060E+02  0.0000E+00  0.2892E-02  0.9239E-02  0.7777E-07 -0.2074E-01  0.2116E+00  0.3656E+00  0.1468E+00  0.7573E+00 -0.1096E+00  0.4572E+05  0.4572E+05  0.4572E+05 -0.2807E-03  0.1524E-01  0.2205E-09  0.3434E+00  0.9689E-09  0.1487E-01 -0.6806E-02 -0.9843E-02 -0.6755E-01  0.1455E-01  0.4976E-01  0.3883E-01
    25  0.5280E+02  0.0000E+00  0.2838E-02  0.9291E-02  0.7584E-07 -0.2651E-01  0.2124E+00  0.3697E+00  0.1380E+00  0.8804E+00 -0.1069E+00  0.4559E+05  0.4559E+05  0.4559E+05 -0.7859E-03  0.1422E-01  0.2383E-09  0.3334E+00  0.1802E-08  0.1386E-01 -0.7607E-02 -0.9627E-02 -0.5670E-01  0.1670E-02  0.5323E-01  0.4648E-01
    26  0.5500E+02  0.0000E+00  0.2783E-02  0.9431E-02  0.7435E-07 -0.1798E-01  0.2128E+00  0.3749E+00  0.1430E+00  0.9113E+00  0.3211E-02  0.4543E+05  0.4543E+05  0.4543E+05 -0.4767E-03  0.1407E-01  0.2443E-09  0.3546E+00  0.2282E-08  0.1366E-01 -0.6438E-02 -0.1028E-01 -0.6392E-01  0.1444E-02  0.5871E-01  0.4690E-01
    27  0.5720E+02  0.0000E+00  0.2725E-02  0.9604E-02  0.7236E-07 -0.2098E-01  0.2128E+00  0.3733E+00  0.1476E+00  0.8384E+00  0.6775E-01  0.4522E+05  0.4522E+05  0.4522E+05 -0.3770E-03  0.1483E-01  0.2364E-09  0.3786E+00  0.2340E-08  0.1441E-01 -0.7823E-02 -0.9522E-02 -0.5880E-01  0.2713E-02  0.5386E-01  0.4357E-01
    28  0.5940E+02  0.0000E+00  0.2668E-02  0.9619E-02  0.6951E-07 -0.1323E-01  0.2128E+00  0.3681E+00  0.1491E+00  0.7681E+00  0.1889E-01  0.4500E+05  0.4500E+05  0.4500E+05 -0.5787E-03  0.1547E-01  0.2267E-09  0.4015E+00  0.2435E-08  0.1503E-01 -0.7032E-02 -0.9988E-02 -0.6032E-01  0.3671E-02  0.5172E-01  0.3954E-01
    29  0.6160E+02  0.0000E+00  0.2619E-02  0.9498E-02  0.6655E-07 -0.1886E-01  0.2125E+00  0.3673E+00  0.1339E+00  0.7825E+00 -0.5064E-01  0.4482E+05  0.4482E+05  0.4482E+05 -0.3377E-03  0.1530E-01  0.2273E-09  0.4243E+00  0.2159E-08  0.1480E-01 -0.6652E-02 -0.1034E-01 -0.5772E-01  0.7283E-02  0.4964E-01  0.4068E-01
    30  0.6380E+02  0.0000E+00  0.2578E-02  0.9399E-02  0.6380E-07 -0.1425E-01  0.2120E+00  0.3692E+00  0.1363E+00  0.8342E+00 -0.4198E-01  0.4466E+05  0.4466E+05  0.4466E+05 -0.3489E-03  0.1474E-01  0.2337E-09  0.4312E+00  0.2090E-08  0.1423E-01 -0.7613E-02 -0.9187E-02 -0.6114E-01  0.1791E-02  0.5508E-01  0.4137E-01
    31  0.6600E+02  0.0000E+00  0.2527E-02  0.9277E-02  0.6067E-07 -0.1688E-01  0.2113E+00  0.3673E+00  0.1325E+00  0.8302E+00  0.3521E-01  0.4447E+05  0.4447E+05  0.4447E+05 -0.5576E-03  0.1468E-01  0.2319E-09  0.4439E+00  0.1675E-08  0.1414E-01 -0.6277E-02 -0.1041E-01 -0.5608E-01  0.1272E-02  0.5442E-01  0.4294E-01
