 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.2860E+02  0.0000E+00  0.3011E-02  0.9441E-02  0.8146E-07  0.1911E-01  0.2127E+00  0.4372E+00  0.1650E+00  0.8752E+00 -0.2257E+00  0.1650E+03  0.1650E+03  0.1650E+03 -0.1133E-02  0.1435E-01  0.2453E-09  0.1010E+00  0.4635E-08  0.1429E-01 -0.1156E-01 -0.1243E-01 -0.2055E-01 -0.5796E-01  0.6316E-01  0.8571E-01
    15  0.3080E+02  0.0000E+00  0.3030E-02  0.9740E-02  0.9331E-07 -0.4903E-01  0.2113E+00  0.4119E+00  0.1939E+00  0.1001E+01  0.4424E-01  0.1650E+03  0.1650E+03  0.1650E+03 -0.9364E-03  0.1386E-01  0.2702E-09  0.3147E+00  0.5368E-08  0.1320E-01  0.1988E-02 -0.8679E-02 -0.1852E-01  0.7258E-01  0.8291E-01  0.3037E-01
    16  0.3300E+02  0.0000E+00  0.3047E-02  0.1000E-01  0.9638E-07 -0.5781E-01  0.2086E+00  0.3881E+00  0.3430E+00  0.8870E+00  0.9546E-01  0.1650E+03  0.1650E+03  0.1650E+03 -0.4118E-03  0.1542E-01  0.2627E-09  0.5077E+00  0.6474E-08  0.1413E-01 -0.1590E-01 -0.1111E-01 -0.1271E+00  0.3872E-02  0.1198E+00  0.9670E-01
    17  0.3520E+02  0.0000E+00  0.2830E-02  0.1081E-01  0.9293E-07 -0.6181E-01  0.2100E+00  0.3353E+00  0.1879E+00  0.7683E+00  0.6322E-01  0.1650E+03  0.1650E+03  0.1650E+03 -0.3088E-02  0.1746E-01  0.2466E-09  0.6641E+00  0.4511E-08  0.1581E-01 -0.1766E-03 -0.9844E-02  0.9916E-02 -0.3137E-01  0.7515E-01  0.2363E-01
    18  0.3740E+02  0.0000E+00  0.3015E-02  0.1002E-01  0.8458E-07 -0.5618E-01  0.2125E+00  0.3790E+00  0.2062E+00  0.7341E+00 -0.1158E+00  0.1640E+03  0.1640E+03  0.1640E+03  0.1880E-03  0.1714E-01  0.2272E-09  0.5371E+00  0.2379E-08  0.1578E-01 -0.6879E-02 -0.8144E-02 -0.1557E+00  0.1620E-02  0.8688E-01  0.2911E-01
    19  0.3960E+02  0.0000E+00  0.2826E-02  0.1000E-01  0.7648E-07 -0.6572E-01  0.2131E+00  0.3565E+00  0.9815E-01  0.8832E+00 -0.2362E+00  0.1620E+03  0.1620E+03  0.1620E+03 -0.2793E-02  0.1608E-01  0.2464E-09  0.5653E+00 -0.2295E-10  0.1470E-01 -0.1153E-01 -0.1136E-01  0.6677E-01 -0.1610E-02  0.4447E-01  0.6241E-01
    20  0.4180E+02  0.0000E+00  0.2761E-02  0.9362E-02  0.6183E-07 -0.5231E-01  0.2125E+00  0.4080E+00  0.1878E+00  0.1024E+01 -0.1692E+00  0.1600E+03  0.1600E+03  0.1600E+03 -0.1534E-02  0.1355E-01  0.2587E-09  0.3608E+00 -0.2579E-08  0.1301E-01 -0.3979E-02 -0.1152E-01 -0.1500E+00 -0.5209E-02  0.5129E-01  0.5042E-01
    21  0.4400E+02  0.0000E+00  0.2658E-02  0.9842E-02  0.6003E-07 -0.5132E-01  0.2131E+00  0.3522E+00  0.1683E+00  0.1021E+01  0.6684E-01  0.1590E+03  0.1590E+03  0.1590E+03 -0.3913E-03  0.1335E-01  0.2629E-09  0.1545E+00 -0.7751E-09  0.1323E-01 -0.5870E-02 -0.7361E-02 -0.2153E-01  0.1529E-01 -0.3581E-03  0.3057E-01
    22  0.4620E+02  0.0000E+00  0.2684E-02  0.9888E-02  0.6582E-07 -0.5922E-01  0.2134E+00  0.3591E+00  0.8069E-01  0.8311E+00  0.1724E+00  0.1590E+03  0.1590E+03  0.1590E+03 -0.1935E-02  0.1489E-01  0.2394E-09  0.1378E-01  0.2588E-08  0.1489E-01 -0.1312E-01 -0.1135E-01 -0.1030E+00 -0.1059E-01  0.4058E-01  0.8096E-01
    23  0.4840E+02  0.0000E+00  0.2357E-02  0.9767E-02  0.5470E-07 -0.6087E-01  0.2132E+00  0.3816E+00 -0.6534E-02  0.7246E+00 -0.1962E-01  0.1570E+03  0.1570E+03  0.1570E+03 -0.1749E-02  0.1571E-01  0.2276E-09 -0.1645E+00  0.5545E-08  0.1562E-01  0.3342E-03 -0.1066E-01  0.1206E-01  0.2121E-01 -0.2597E-01  0.2462E-01
    24  0.5060E+02  0.0000E+00  0.2309E-02  0.9084E-02  0.4462E-07 -0.5616E-01  0.2150E+00  0.4579E+00  0.1782E+00  0.7526E+00 -0.6736E-01  0.1550E+03  0.1550E+03  0.1550E+03  0.3435E-04  0.1492E-01  0.2260E-09  0.9441E-01  0.7522E-08  0.1489E-01 -0.1400E-01 -0.7885E-02 -0.1539E+00  0.1363E-01  0.6157E-01  0.7201E-01
    25  0.5280E+02  0.0000E+00  0.2270E-02  0.8920E-02  0.5050E-07 -0.5833E-01  0.2138E+00  0.3841E+00  0.2204E+00  0.7837E+00 -0.6513E-02  0.1540E+03  0.1540E+03  0.1540E+03 -0.2496E-02  0.1489E-01  0.2366E-09  0.4232E+00  0.9817E-08  0.1438E-01 -0.3579E-02 -0.1126E-01  0.6397E-02 -0.2976E-01  0.6666E-01  0.4006E-01
    26  0.5500E+02  0.0000E+00  0.2337E-02  0.9190E-02  0.5162E-07 -0.4444E-01  0.2120E+00  0.3635E+00  0.1427E+00  0.7671E+00  0.1096E+00  0.1520E+03  0.1520E+03  0.1520E+03  0.4059E-03  0.1614E-01  0.2260E-09  0.7305E+00  0.5298E-08  0.1475E-01 -0.6782E-02 -0.8729E-02 -0.1111E+00  0.1687E-01  0.8557E-01  0.3264E-01
    27  0.5720E+02  0.0000E+00  0.2290E-02  0.9208E-02  0.5323E-07 -0.5317E-01  0.2085E+00  0.3567E+00  0.8033E-01  0.7191E+00  0.1386E-01  0.1520E+03  0.1520E+03  0.1520E+03 -0.1898E-02  0.1682E-01  0.2176E-09  0.9220E+00  0.2547E-08  0.1498E-01 -0.9032E-02 -0.9583E-02 -0.4231E-02 -0.3893E-02  0.5617E-01  0.3764E-01
    28  0.5940E+02  0.0000E+00  0.2406E-02  0.9130E-02  0.5303E-07 -0.2618E-01  0.2063E+00  0.3362E+00  0.1583E+00  0.7733E+00 -0.1194E+00  0.1520E+03  0.1520E+03  0.1520E+03 -0.8666E-03  0.1595E-01  0.2256E-09  0.6675E+00 -0.9214E-09  0.1438E-01 -0.3763E-02 -0.1155E-01 -0.8720E-01  0.2423E-01  0.6383E-01  0.3661E-01
    29  0.6160E+02  0.0000E+00  0.2346E-02  0.8897E-02  0.4960E-07 -0.4925E-01  0.2067E+00  0.3671E+00 -0.3671E-01  0.9731E+00 -0.9465E-01  0.1520E+03  0.1520E+03  0.1520E+03 -0.4789E-03  0.1434E-01  0.2514E-09  0.7097E+00 -0.3430E-08  0.1264E-01 -0.4235E-02 -0.9189E-02 -0.8510E-01  0.1695E-02  0.8426E-01  0.3405E-01
    30  0.6380E+02  0.0000E+00  0.2359E-02  0.9429E-02  0.5037E-07 -0.3689E-01  0.2090E+00  0.3762E+00  0.1238E+00  0.9040E+00  0.7582E-01  0.1500E+03  0.1500E+03  0.1500E+03 -0.5271E-03  0.1393E-01  0.2486E-09  0.3466E+00 -0.4449E-08  0.1358E-01 -0.1034E-01 -0.7266E-02 -0.9193E-02  0.3440E-02  0.6328E-01  0.5007E-01
    31  0.6600E+02  0.0000E+00  0.2300E-02  0.9603E-02  0.4615E-07 -0.6633E-01  0.2083E+00  0.3728E+00  0.7263E-01  0.8990E+00 -0.7041E-01  0.1490E+03  0.1490E+03  0.1490E+03 -0.2687E-02  0.1392E-01  0.2515E-09  0.2741E+00 -0.5041E-08  0.1371E-01 -0.5869E-02 -0.1451E-01 -0.1159E+00  0.2090E-01  0.6347E-01  0.7471E-01
