 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.1014E+02  0.0000E+00  0.1616E-03  0.1630E-02  0.4184E-10  0.1837E+00  0.1937E+00  0.3113E-01  0.3219E-01  0.4954E+00  0.2359E-01  0.1631E+04  0.1631E+04  0.1631E+04  0.2069E-03  0.7277E-02  0.7983E-10  0.2454E+01  0.8870E-08  0.7205E-02 -0.1053E-02 -0.1556E-02 -0.1058E-01  0.2334E-02  0.5767E-02  0.3297E-02
    15  0.1092E+02  0.0000E+00  0.1601E-03  0.1638E-02  0.4163E-10  0.1790E+00  0.1934E+00  0.2903E-01 -0.6686E-03  0.4955E+00 -0.1918E-01  0.1628E+04  0.1628E+04  0.1628E+04  0.2079E-03  0.7273E-02  0.8015E-10  0.2230E+01  0.1033E-07  0.7216E-02 -0.1080E-02 -0.1565E-02 -0.7134E-02 -0.4813E-03  0.5105E-02  0.3373E-02
    16  0.1170E+02  0.0000E+00  0.1596E-03  0.1626E-02  0.4139E-10  0.1855E+00  0.1934E+00  0.3023E-01  0.2351E-01  0.5093E+00 -0.4695E-01  0.1621E+04  0.1621E+04  0.1621E+04  0.2248E-03  0.7148E-02  0.8094E-10  0.2123E+01  0.8650E-08  0.7095E-02 -0.1221E-02 -0.1640E-02 -0.5600E-02 -0.3005E-02  0.6290E-02  0.4034E-02
    17  0.1248E+02  0.0000E+00  0.1595E-03  0.1623E-02  0.4118E-10  0.1864E+00  0.1935E+00  0.3009E-01  0.1127E-01  0.5311E+00 -0.4767E-01  0.1619E+04  0.1619E+04  0.1619E+04  0.1758E-03  0.7003E-02  0.8250E-10  0.2195E+01  0.4416E-08  0.6945E-02 -0.1190E-02 -0.1562E-02 -0.6457E-02  0.1446E-02  0.4632E-02  0.3869E-02
    18  0.1326E+02  0.0000E+00  0.1584E-03  0.1605E-02  0.3983E-10  0.1857E+00  0.1936E+00  0.2946E-01  0.5137E-01  0.5486E+00 -0.2598E-01  0.1610E+04  0.1610E+04  0.1610E+04  0.1639E-03  0.6875E-02  0.8331E-10  0.2558E+01  0.3962E-08  0.6794E-02 -0.1061E-02 -0.1605E-02 -0.9093E-02  0.1252E-02  0.5045E-02  0.3863E-02
    19  0.1404E+02  0.0000E+00  0.1566E-03  0.1604E-02  0.3924E-10  0.1858E+00  0.1941E+00  0.3116E-01 -0.3696E-01  0.5569E+00  0.4673E-02  0.1602E+04  0.1602E+04  0.1602E+04  0.2289E-03  0.6838E-02  0.8377E-10  0.2704E+01  0.2619E-08  0.6749E-02 -0.1100E-02 -0.1668E-02 -0.8347E-02 -0.1163E-02  0.7589E-02  0.4235E-02
    20  0.1482E+02  0.0000E+00  0.1563E-03  0.1603E-02  0.3920E-10  0.1842E+00  0.1945E+00  0.3023E-01  0.8214E-01  0.5471E+00  0.3635E-01  0.1598E+04  0.1598E+04  0.1598E+04  0.2334E-03  0.6890E-02  0.8287E-10  0.2383E+01  0.1340E-08  0.6822E-02 -0.1241E-02 -0.1547E-02 -0.5969E-02  0.6400E-03  0.5114E-02  0.4114E-02
    21  0.1560E+02  0.0000E+00  0.1551E-03  0.1586E-02  0.3800E-10  0.1819E+00  0.1948E+00  0.2942E-01  0.8832E-03  0.5363E+00  0.5865E-01  0.1592E+04  0.1592E+04  0.1592E+04  0.1484E-03  0.6924E-02  0.8149E-10  0.2119E+01 -0.2033E-08  0.6871E-02 -0.1224E-02 -0.1556E-02 -0.6321E-02  0.3092E-03  0.3845E-02  0.4059E-02
    22  0.1638E+02  0.0000E+00  0.1538E-03  0.1569E-02  0.3675E-10  0.1802E+00  0.1952E+00  0.3098E-01  0.1244E-01  0.5201E+00  0.5902E-01  0.1580E+04  0.1580E+04  0.1580E+04  0.1601E-03  0.6993E-02  0.7973E-10  0.1925E+01 -0.4165E-08  0.6951E-02 -0.1119E-02 -0.1683E-02 -0.7827E-02 -0.2405E-03  0.6000E-02  0.4173E-02
    23  0.1716E+02  0.0000E+00  0.1526E-03  0.1564E-02  0.3586E-10  0.1822E+00  0.1956E+00  0.3045E-01  0.4578E-01  0.5073E+00  0.3045E-01  0.1573E+04  0.1573E+04  0.1573E+04  0.2299E-03  0.7049E-02  0.7852E-10  0.1494E+01 -0.5438E-08  0.7025E-02 -0.1165E-02 -0.1612E-02 -0.7881E-02  0.6708E-03  0.4431E-02  0.3980E-02
