 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.1014E+02  0.0000E+00  0.1522E-03  0.1598E-02  0.3670E-10  0.2299E+00  0.1935E+00  0.3022E-01 -0.3191E-01  0.5031E+00 -0.3358E-01  0.5220E+03  0.5220E+03  0.5220E+03  0.2094E-03  0.7099E-02  0.7964E-10  0.1430E+01  0.4860E-08  0.7076E-02 -0.1203E-02 -0.1550E-02 -0.6177E-02 -0.2362E-02  0.7155E-02  0.3771E-02
    15  0.1092E+02  0.0000E+00  0.1512E-03  0.1586E-02  0.3594E-10  0.2378E+00  0.1934E+00  0.3116E-01  0.4992E-01  0.5200E+00 -0.4385E-01  0.5190E+03  0.5190E+03  0.5190E+03  0.2166E-03  0.6977E-02  0.8071E-10  0.1952E+01  0.1268E-08  0.6934E-02 -0.1102E-02 -0.1674E-02 -0.7769E-02 -0.9886E-04  0.5026E-02  0.4063E-02
    16  0.1170E+02  0.0000E+00  0.1512E-03  0.1583E-02  0.3588E-10  0.2304E+00  0.1933E+00  0.2931E-01  0.5933E-02  0.5338E+00 -0.3010E-01  0.5190E+03  0.5190E+03  0.5190E+03  0.2566E-03  0.6889E-02  0.8171E-10  0.2252E+01  0.1847E-08  0.6832E-02 -0.1077E-02 -0.1631E-02 -0.8234E-02  0.1917E-02  0.4891E-02  0.3951E-02
    17  0.1248E+02  0.0000E+00  0.1530E-03  0.1574E-02  0.3640E-10  0.2333E+00  0.1934E+00  0.3123E-01  0.2963E-02  0.5437E+00 -0.6835E-02  0.5190E+03  0.5190E+03  0.5190E+03  0.2662E-03  0.6811E-02  0.8219E-10  0.2170E+01  0.1203E-08  0.6752E-02 -0.1170E-02 -0.1550E-02 -0.9099E-02 -0.3772E-04  0.7422E-02  0.4012E-02
    18  0.1326E+02  0.0000E+00  0.1503E-03  0.1577E-02  0.3538E-10  0.2406E+00  0.1936E+00  0.2924E-01  0.4477E-01  0.5415E+00  0.1834E-01  0.5190E+03  0.5190E+03  0.5190E+03  0.2291E-03  0.6823E-02  0.8202E-10  0.1952E+01 -0.1207E-08  0.6775E-02 -0.1150E-02 -0.1566E-02 -0.6485E-02 -0.1903E-02  0.4803E-02  0.4000E-02
    19  0.1404E+02  0.0000E+00  0.1515E-03  0.1561E-02  0.3579E-10  0.2355E+00  0.1941E+00  0.3163E-01 -0.6141E-01  0.5337E+00  0.4642E-01  0.5170E+03  0.5170E+03  0.5170E+03  0.2404E-03  0.6848E-02  0.8090E-10  0.1748E+01 -0.2256E-08  0.6810E-02 -0.1146E-02 -0.1640E-02 -0.4942E-02  0.1997E-02  0.3959E-02  0.4214E-02
    20  0.1482E+02  0.0000E+00  0.1516E-03  0.1553E-02  0.3520E-10  0.2314E+00  0.1945E+00  0.3076E-01  0.1142E+00  0.5200E+00  0.4093E-01  0.5130E+03  0.5130E+03  0.5130E+03  0.2469E-03  0.6930E-02  0.7950E-10  0.1851E+01  0.1506E-08  0.6889E-02 -0.1216E-02 -0.1663E-02 -0.8282E-02 -0.5957E-03  0.6556E-02  0.4392E-02
    21  0.1560E+02  0.0000E+00  0.1504E-03  0.1553E-02  0.3483E-10  0.2301E+00  0.1950E+00  0.2975E-01 -0.2454E-01  0.5114E+00  0.3115E-01  0.5120E+03  0.5120E+03  0.5120E+03  0.2345E-03  0.7004E-02  0.7873E-10  0.1996E+01  0.2844E-08  0.6957E-02 -0.1159E-02 -0.1553E-02 -0.7247E-02  0.9434E-03  0.2711E-02  0.3800E-02
    22  0.1638E+02  0.0000E+00  0.1514E-03  0.1538E-02  0.3473E-10  0.2288E+00  0.1954E+00  0.3134E-01  0.8188E-02  0.5057E+00  0.1692E-02  0.5120E+03  0.5120E+03  0.5120E+03  0.2368E-03  0.6997E-02  0.7777E-10  0.1488E+01  0.5828E-09  0.6971E-02 -0.1145E-02 -0.1584E-02 -0.7684E-02  0.1957E-03  0.5864E-02  0.3906E-02
    23  0.1716E+02  0.0000E+00  0.1478E-03  0.1511E-02  0.3265E-10  0.2395E+00  0.1958E+00  0.3119E-01  0.4288E-01  0.5196E+00 -0.2558E-01  0.5090E+03  0.5090E+03  0.5090E+03  0.2668E-03  0.6874E-02  0.7800E-10  0.2024E+01  0.1279E-08  0.6828E-02 -0.1243E-02 -0.1656E-02 -0.7669E-02 -0.3167E-02  0.6630E-02  0.4555E-02
    24  0.1794E+02  0.0000E+00  0.1470E-03  0.1521E-02  0.3270E-10  0.2458E+00  0.1960E+00  0.3065E-01 -0.4360E-02  0.5320E+00 -0.2179E-01  0.5080E+03  0.5080E+03  0.5080E+03  0.2470E-03  0.6806E-02  0.7914E-10  0.1659E+01 -0.3439E-10  0.6774E-02 -0.1253E-02 -0.1548E-02 -0.4893E-02  0.2783E-02  0.1449E-02  0.4272E-02
    25  0.1872E+02  0.0000E+00  0.1453E-03  0.1519E-02  0.3148E-10  0.2407E+00  0.1960E+00  0.3127E-01  0.2044E-01  0.5361E+00 -0.9377E-02  0.5060E+03  0.5060E+03  0.5060E+03  0.2100E-03  0.6773E-02  0.7939E-10  0.1573E+01  0.4657E-10  0.6744E-02 -0.1180E-02 -0.1647E-02 -0.7521E-02  0.2019E-02  0.4785E-02  0.4487E-02
    26  0.1950E+02  0.0000E+00  0.1447E-03  0.1527E-02  0.3139E-10  0.2461E+00  0.1959E+00  0.3163E-01  0.1983E-01  0.5369E+00  0.3272E-02  0.5050E+03  0.5050E+03  0.5050E+03  0.2727E-03  0.6777E-02  0.7969E-10  0.1429E+01 -0.4118E-09  0.6754E-02 -0.1178E-02 -0.1659E-02 -0.8778E-02 -0.2837E-02  0.5884E-02  0.4523E-02
    27  0.2028E+02  0.0000E+00  0.1446E-03  0.1522E-02  0.3149E-10  0.2521E+00  0.1956E+00  0.3109E-01  0.1333E-02  0.5380E+00  0.1462E-01  0.5020E+03  0.5020E+03  0.5020E+03  0.2621E-03  0.6740E-02  0.7974E-10  0.1005E+01  0.4597E-08  0.6728E-02 -0.1219E-02 -0.1487E-02 -0.7272E-02  0.1234E-02  0.4272E-02  0.4068E-02
    28  0.2106E+02  0.0000E+00  0.1428E-03  0.1511E-02  0.3051E-10  0.2543E+00  0.1953E+00  0.3121E-01  0.2779E-01  0.5347E+00  0.3867E-01  0.4990E+03  0.4990E+03  0.4990E+03  0.2158E-03  0.6732E-02  0.7933E-10  0.1038E+01  0.6930E-08  0.6720E-02 -0.1211E-02 -0.1609E-02 -0.5909E-02  0.1202E-04  0.2703E-02  0.4446E-02
    29  0.2184E+02  0.0000E+00  0.1432E-03  0.1520E-02  0.3045E-10  0.2505E+00  0.1947E+00  0.3050E-01 -0.1983E-01  0.5225E+00  0.4593E-01  0.4970E+03  0.4970E+03  0.4970E+03  0.2356E-03  0.6816E-02  0.7881E-10  0.9197E+00  0.6637E-08  0.6806E-02 -0.1183E-02 -0.1704E-02 -0.1026E-01  0.5249E-03  0.5629E-02  0.4600E-02
    30  0.2262E+02  0.0000E+00  0.1421E-03  0.1521E-02  0.3037E-10  0.2492E+00  0.1942E+00  0.3117E-01  0.1156E-01  0.5050E+00  0.2358E-01  0.4960E+03  0.4960E+03  0.4960E+03  0.2669E-03  0.6916E-02  0.7770E-10  0.8711E+00  0.9851E-08  0.6908E-02 -0.1085E-02 -0.1573E-02 -0.6798E-02  0.1642E-02  0.3260E-02  0.3773E-02
    31  0.2340E+02  0.0000E+00  0.1435E-03  0.1512E-02  0.3074E-10  0.2485E+00  0.1938E+00  0.3056E-01  0.2263E-01  0.5028E+00 -0.6521E-02  0.4960E+03  0.4960E+03  0.4960E+03  0.2546E-03  0.6906E-02  0.7750E-10  0.1239E+01  0.1188E-07  0.6889E-02 -0.1196E-02 -0.1520E-02 -0.7829E-02 -0.2078E-02  0.6112E-02  0.3876E-02
    32  0.2418E+02  0.0000E+00  0.1414E-03  0.1510E-02  0.2998E-10  0.2573E+00  0.1934E+00  0.2961E-01  0.2575E-02  0.5129E+00 -0.2288E-01  0.4950E+03  0.4950E+03  0.4950E+03  0.2040E-03  0.6819E-02  0.7838E-10  0.1048E+01  0.1427E-07  0.6807E-02 -0.1172E-02 -0.1593E-02 -0.6423E-02 -0.4895E-03  0.4166E-02  0.4129E-02
    33  0.2496E+02  0.0000E+00  0.1417E-03  0.1504E-02  0.3003E-10  0.2545E+00  0.1932E+00  0.3225E-01 -0.1016E-01  0.5231E+00 -0.3095E-01  0.4950E+03  0.4950E+03  0.4950E+03  0.2318E-03  0.6754E-02  0.7924E-10  0.1650E+01  0.2041E-07  0.6724E-02 -0.1083E-02 -0.1672E-02 -0.6464E-02  0.8514E-03  0.4196E-02  0.4270E-02
    34  0.2574E+02  0.0000E+00  0.1421E-03  0.1499E-02  0.2985E-10  0.2452E+00  0.1931E+00  0.2944E-01  0.8128E-01  0.5340E+00 -0.1636E-01  0.4940E+03  0.4940E+03  0.4940E+03  0.2605E-03  0.6684E-02  0.7984E-10  0.1981E+01  0.1664E-07  0.6640E-02 -0.1118E-02 -0.1622E-02 -0.9720E-02  0.1303E-02  0.4977E-02  0.4255E-02
    35  0.2652E+02  0.0000E+00  0.1420E-03  0.1506E-02  0.3002E-10  0.2520E+00  0.1932E+00  0.3032E-01 -0.6051E-01  0.5399E+00  0.4421E-02  0.4920E+03  0.4920E+03  0.4920E+03  0.2497E-03  0.6675E-02  0.8042E-10  0.2189E+01  0.1683E-07  0.6622E-02 -0.1147E-02 -0.1546E-02 -0.8709E-02  0.1427E-02  0.4485E-02  0.4080E-02
    36  0.2730E+02  0.0000E+00  0.1403E-03  0.1498E-02  0.2939E-10  0.2556E+00  0.1935E+00  0.3142E-01  0.7489E-01  0.5404E+00  0.2706E-01  0.4900E+03  0.4900E+03  0.4900E+03  0.2426E-03  0.6702E-02  0.8000E-10  0.2841E+01  0.1126E-07  0.6610E-02 -0.1128E-02 -0.1615E-02 -0.7015E-02 -0.1632E-02  0.7188E-02  0.4266E-02
    37  0.2808E+02  0.0000E+00  0.1380E-03  0.1495E-02  0.2867E-10  0.2657E+00  0.1939E+00  0.3092E-01 -0.3794E-01  0.5266E+00  0.4631E-01  0.4900E+03  0.4900E+03  0.4900E+03  0.2714E-03  0.6771E-02  0.7873E-10  0.2491E+01  0.9061E-08  0.6704E-02 -0.1174E-02 -0.1630E-02 -0.2498E-02 -0.1619E-02  0.5573E-02  0.4340E-02
    38  0.2886E+02  0.0000E+00  0.1384E-03  0.1495E-02  0.2819E-10  0.2633E+00  0.1944E+00  0.3099E-01  0.1070E+00  0.5156E+00  0.3740E-01  0.4890E+03  0.4890E+03  0.4890E+03  0.2371E-03  0.6866E-02  0.7771E-10  0.2769E+01  0.3123E-08  0.6784E-02 -0.1227E-02 -0.1561E-02 -0.9155E-02  0.3205E-03  0.6094E-02  0.4149E-02
    39  0.2964E+02  0.0000E+00  0.1375E-03  0.1484E-02  0.2758E-10  0.2627E+00  0.1949E+00  0.3008E-01 -0.3482E-01  0.5080E+00  0.1698E-01  0.4890E+03  0.4890E+03  0.4890E+03  0.2054E-03  0.6916E-02  0.7672E-10  0.3032E+01  0.1926E-08  0.6821E-02 -0.1116E-02 -0.1602E-02 -0.1036E-01 -0.6149E-03  0.6231E-02  0.3969E-02
    40  0.3042E+02  0.0000E+00  0.1368E-03  0.1473E-02  0.2739E-10  0.2628E+00  0.1953E+00  0.3250E-01  0.1541E-01  0.5066E+00 -0.1614E-01  0.4880E+03  0.4880E+03  0.4880E+03  0.2872E-03  0.6872E-02  0.7620E-10  0.2348E+01 -0.7947E-09  0.6815E-02 -0.1092E-02 -0.1621E-02 -0.7199E-02 -0.5879E-03  0.6248E-02  0.4047E-02
    41  0.3120E+02  0.0000E+00  0.1370E-03  0.1471E-02  0.2741E-10  0.2584E+00  0.1957E+00  0.3102E-01  0.4050E-01  0.5169E+00 -0.3626E-01  0.4870E+03  0.4870E+03  0.4870E+03  0.2761E-03  0.6808E-02  0.7684E-10  0.2279E+01 -0.5862E-08  0.6752E-02 -0.1290E-02 -0.1578E-02 -0.7756E-02  0.1797E-02  0.5030E-02  0.4481E-02
    42  0.3198E+02  0.0000E+00  0.1369E-03  0.1472E-02  0.2758E-10  0.2618E+00  0.1959E+00  0.3087E-01  0.1287E-01  0.5307E+00 -0.3096E-01  0.4850E+03  0.4850E+03  0.4850E+03  0.2015E-03  0.6716E-02  0.7788E-10  0.2043E+01 -0.8921E-08  0.6673E-02 -0.1276E-02 -0.1639E-02 -0.3685E-02  0.1822E-02  0.2068E-02  0.4763E-02
    43  0.3276E+02  0.0000E+00  0.1378E-03  0.1475E-02  0.2746E-10  0.2563E+00  0.1959E+00  0.3085E-01 -0.1588E-01  0.5384E+00 -0.2526E-01  0.4850E+03  0.4850E+03  0.4850E+03  0.2409E-03  0.6654E-02  0.7845E-10  0.1482E+01 -0.4856E-08  0.6631E-02 -0.1137E-02 -0.1641E-02 -0.6528E-02 -0.7119E-03  0.4009E-02  0.4507E-02
    44  0.3354E+02  0.0000E+00  0.1395E-03  0.1477E-02  0.2765E-10  0.2548E+00  0.1959E+00  0.3286E-01  0.2581E-01  0.5471E+00 -0.1112E-01  0.4850E+03  0.4850E+03  0.4850E+03  0.2673E-03  0.6599E-02  0.7913E-10  0.1372E+01  0.2219E-09  0.6579E-02 -0.1192E-02 -0.1558E-02 -0.1285E-01 -0.3840E-02  0.9016E-02  0.4451E-02
    45  0.3432E+02  0.0000E+00  0.1368E-03  0.1474E-02  0.2704E-10  0.2599E+00  0.1955E+00  0.3013E-01  0.4411E-02  0.5493E+00  0.1425E-01  0.4820E+03  0.4820E+03  0.4820E+03  0.2395E-03  0.6567E-02  0.7931E-10  0.1210E+01  0.1017E-08  0.6552E-02 -0.1201E-02 -0.1537E-02 -0.6445E-02  0.1897E-03  0.4825E-02  0.4405E-02
    46  0.3510E+02  0.0000E+00  0.1369E-03  0.1469E-02  0.2727E-10  0.2531E+00  0.1952E+00  0.3208E-01 -0.2551E-02  0.5394E+00  0.3789E-01  0.4820E+03  0.4820E+03  0.4820E+03  0.2296E-03  0.6611E-02  0.7858E-10  0.1192E+01  0.1369E-08  0.6595E-02 -0.1242E-02 -0.1636E-02 -0.4972E-02 -0.7291E-03  0.3987E-02  0.4793E-02
    47  0.3588E+02  0.0000E+00  0.1380E-03  0.1468E-02  0.2750E-10  0.2428E+00  0.1946E+00  0.2992E-01  0.2339E-01  0.5236E+00  0.5145E-01  0.4810E+03  0.4810E+03  0.4810E+03  0.2146E-03  0.6703E-02  0.7754E-10  0.1410E+01  0.6054E-08  0.6682E-02 -0.1212E-02 -0.1648E-02 -0.8329E-02  0.9599E-03  0.4821E-02  0.4617E-02
    48  0.3666E+02  0.0000E+00  0.1352E-03  0.1456E-02  0.2636E-10  0.2569E+00  0.1942E+00  0.3135E-01 -0.3117E-01  0.5074E+00  0.5590E-01  0.4770E+03  0.4770E+03  0.4770E+03  0.2383E-03  0.6776E-02  0.7618E-10  0.1535E+01  0.6547E-08  0.6752E-02 -0.1094E-02 -0.1580E-02 -0.5397E-02  0.4435E-03  0.3003E-02  0.3967E-02
    49  0.3744E+02  0.0000E+00  0.1354E-03  0.1452E-02  0.2618E-10  0.2660E+00  0.1937E+00  0.3077E-01  0.2285E-01  0.4921E+00  0.2445E-01  0.4770E+03  0.4770E+03  0.4770E+03  0.2700E-03  0.6844E-02  0.7508E-10  0.1409E+01  0.8167E-08  0.6824E-02 -0.1156E-02 -0.1559E-02 -0.7671E-02 -0.2125E-02  0.7980E-02  0.3978E-02
    50  0.3822E+02  0.0000E+00  0.1352E-03  0.1443E-02  0.2601E-10  0.2703E+00  0.1933E+00  0.3149E-01  0.2859E-01  0.4911E+00 -0.8677E-02  0.4760E+03  0.4760E+03  0.4760E+03  0.2155E-03  0.6819E-02  0.7483E-10  0.1407E+01  0.4825E-08  0.6800E-02 -0.1193E-02 -0.1600E-02 -0.8230E-02  0.6547E-03  0.4187E-02  0.4200E-02
    51  0.3900E+02  0.0000E+00  0.1329E-03  0.1438E-02  0.2526E-10  0.2716E+00  0.1931E+00  0.2986E-01 -0.2192E-01  0.5065E+00 -0.4393E-01  0.4740E+03  0.4740E+03  0.4740E+03  0.2333E-03  0.6722E-02  0.7595E-10  0.1999E+01  0.7061E-08  0.6684E-02 -0.1056E-02 -0.1660E-02 -0.5081E-02  0.1767E-02  0.3184E-02  0.4190E-02
